{'round': 0, 'grad_norm_head': 0.3410121503261246, 'grad_norm_feat': 0.551608272792254}
{'round': 1, 'grad_norm_head': 0.19396369356593424, 'grad_norm_feat': 0.35832533198176586}
{'round': 2, 'grad_norm_head': 0.12714549300499295, 'grad_norm_feat': 0.2347065512576521}
{'round': 3, 'grad_norm_head': 0.0796653430966167, 'grad_norm_feat': 0.14816085152659894}
{'round': 4, 'grad_norm_head': 0.05536685432547288, 'grad_norm_feat': 0.10307298516601417}
{'round': 5, 'grad_norm_head': 0.0425551047722908, 'grad_norm_feat': 0.07990108695162246}
{'round': 6, 'grad_norm_head': 0.03510828941300809, 'grad_norm_feat': 0.06701874961900556}
{'round': 7, 'grad_norm_head': 0.030205519690013786, 'grad_norm_feat': 0.05856477072655275}
{'round': 8, 'grad_norm_head': 0.02680551375861807, 'grad_norm_feat': 0.053756960801141125}
{'round': 9, 'grad_norm_head': 0.024255248608438754, 'grad_norm_feat': 0.04985205104765856}
{'round': 10, 'grad_norm_head': 0.022371146330849384, 'grad_norm_feat': 0.04721906465244251}
{'round': 11, 'grad_norm_head': 0.020908526469712706, 'grad_norm_feat': 0.04493359584834107}
{'round': 12, 'grad_norm_head': 0.019776072705895167, 'grad_norm_feat': 0.04343925953710536}
{'round': 13, 'grad_norm_head': 0.018899356611440387, 'grad_norm_feat': 0.04218369362329398}
{'round': 14, 'grad_norm_head': 0.018094570554704766, 'grad_norm_feat': 0.04103185018541179}
{'round': 15, 'grad_norm_head': 0.017392063526701456, 'grad_norm_feat': 0.040304752933235585}
{'round': 16, 'grad_norm_head': 0.016744818568577496, 'grad_norm_feat': 0.039559724822690275}
{'round': 17, 'grad_norm_head': 0.016217988559582584, 'grad_norm_feat': 0.03869898563348156}
{'round': 18, 'grad_norm_head': 0.015753923519437395, 'grad_norm_feat': 0.03816178354727894}
{'round': 19, 'grad_norm_head': 0.015331632575847937, 'grad_norm_feat': 0.03744568583289119}
{'round': 20, 'grad_norm_head': 0.014935295833408552, 'grad_norm_feat': 0.03680049824508273}
{'round': 21, 'grad_norm_head': 0.014547387736540346, 'grad_norm_feat': 0.03636380803181269}
{'round': 22, 'grad_norm_head': 0.01416608667308016, 'grad_norm_feat': 0.03594801238690775}
{'round': 23, 'grad_norm_head': 0.013801429444705674, 'grad_norm_feat': 0.03548547560706193}
{'round': 24, 'grad_norm_head': 0.01349247583957104, 'grad_norm_feat': 0.034581668321553446}
{'round': 25, 'grad_norm_head': 0.013161635590967842, 'grad_norm_feat': 0.0340204064874395}
{'round': 26, 'grad_norm_head': 0.012844096524945151, 'grad_norm_feat': 0.033572540945916794}
{'round': 27, 'grad_norm_head': 0.012527931095098678, 'grad_norm_feat': 0.03309770503217262}
{'round': 28, 'grad_norm_head': 0.012219438248789027, 'grad_norm_feat': 0.03279211037046344}
{'round': 29, 'grad_norm_head': 0.011921452196265305, 'grad_norm_feat': 0.032310289092822846}
{'round': 30, 'grad_norm_head': 0.011634382395448417, 'grad_norm_feat': 0.031799019877256376}
{'round': 31, 'grad_norm_head': 0.011351920381847076, 'grad_norm_feat': 0.03135827071902868}
