{'round': 0, 'grad_norm_head': 0.3044565462788815, 'grad_norm_feat': 0.4718989235799766}
{'round': 1, 'grad_norm_head': 0.19618506315094114, 'grad_norm_feat': 0.3370520470213773}
{'round': 2, 'grad_norm_head': 0.16067112942489156, 'grad_norm_feat': 0.3075292903484859}
{'round': 3, 'grad_norm_head': 0.1178679095756981, 'grad_norm_feat': 0.2536880234108908}
{'round': 4, 'grad_norm_head': 0.09154582419065926, 'grad_norm_feat': 0.21085005300150514}
{'round': 5, 'grad_norm_head': 0.0764162677719271, 'grad_norm_feat': 0.17981059479463024}
{'round': 6, 'grad_norm_head': 0.0669012450736181, 'grad_norm_feat': 0.1581043472212617}
{'round': 7, 'grad_norm_head': 0.05969222379818605, 'grad_norm_feat': 0.14200113650565602}
{'round': 8, 'grad_norm_head': 0.05417518857901663, 'grad_norm_feat': 0.12991574344092993}
{'round': 9, 'grad_norm_head': 0.0496263296541964, 'grad_norm_feat': 0.12025078676631834}
{'round': 10, 'grad_norm_head': 0.04569870744019542, 'grad_norm_feat': 0.11213468381432}
{'round': 11, 'grad_norm_head': 0.04227373801473763, 'grad_norm_feat': 0.10603518103862886}
{'round': 12, 'grad_norm_head': 0.039280664844043196, 'grad_norm_feat': 0.10043376973146169}
{'round': 13, 'grad_norm_head': 0.036778984687938485, 'grad_norm_feat': 0.09586170874124789}
{'round': 14, 'grad_norm_head': 0.0345966004358836, 'grad_norm_feat': 0.09205645254419907}
{'round': 15, 'grad_norm_head': 0.032644409528527166, 'grad_norm_feat': 0.08838778358417525}
{'round': 16, 'grad_norm_head': 0.030950701929083935, 'grad_norm_feat': 0.08528578429169355}
{'round': 17, 'grad_norm_head': 0.029420946906534816, 'grad_norm_feat': 0.08228051600935116}
{'round': 18, 'grad_norm_head': 0.02804274607046028, 'grad_norm_feat': 0.07985371258388674}
{'round': 19, 'grad_norm_head': 0.026783504249231302, 'grad_norm_feat': 0.07734733735926276}
{'round': 20, 'grad_norm_head': 0.02563768059072386, 'grad_norm_feat': 0.07548400769839128}
{'round': 21, 'grad_norm_head': 0.02462906722352654, 'grad_norm_feat': 0.07366122984313157}
{'round': 22, 'grad_norm_head': 0.023697052125484192, 'grad_norm_feat': 0.07208059701196345}
{'round': 23, 'grad_norm_head': 0.02282499455233867, 'grad_norm_feat': 0.07062049160183562}
{'round': 24, 'grad_norm_head': 0.022053682439618767, 'grad_norm_feat': 0.06907295996607439}
{'round': 25, 'grad_norm_head': 0.021302904719775622, 'grad_norm_feat': 0.06805246258882022}
{'round': 26, 'grad_norm_head': 0.020629090623256467, 'grad_norm_feat': 0.06664836786149572}
{'round': 27, 'grad_norm_head': 0.02001035016351005, 'grad_norm_feat': 0.06523795566819023}
{'round': 28, 'grad_norm_head': 0.019418088996971457, 'grad_norm_feat': 0.06411447858819226}
{'round': 29, 'grad_norm_head': 0.018881639099953343, 'grad_norm_feat': 0.06313261154170817}
{'round': 30, 'grad_norm_head': 0.018351166590494385, 'grad_norm_feat': 0.062051072271659465}
{'round': 31, 'grad_norm_head': 0.017874679396811564, 'grad_norm_feat': 0.061102818647925695}
{'round': 32, 'grad_norm_head': 0.017396897295576835, 'grad_norm_feat': 0.06010208996039775}
{'round': 33, 'grad_norm_head': 0.016948819298162675, 'grad_norm_feat': 0.059176893499623774}
{'round': 34, 'grad_norm_head': 0.0165443403390399, 'grad_norm_feat': 0.05818882475507246}
{'round': 35, 'grad_norm_head': 0.016141414474663687, 'grad_norm_feat': 0.05728274132855928}
{'round': 36, 'grad_norm_head': 0.01573982253349646, 'grad_norm_feat': 0.0565683738824548}
{'round': 37, 'grad_norm_head': 0.015382876589738552, 'grad_norm_feat': 0.05553304263197113}
{'round': 38, 'grad_norm_head': 0.015034194276373598, 'grad_norm_feat': 0.05484217408892594}
{'round': 39, 'grad_norm_head': 0.014684496858419934, 'grad_norm_feat': 0.05383850832262345}
{'round': 40, 'grad_norm_head': 0.014374028866905718, 'grad_norm_feat': 0.05321403357479584}
{'round': 41, 'grad_norm_head': 0.014063191502421387, 'grad_norm_feat': 0.052350079372294495}
{'round': 42, 'grad_norm_head': 0.013769890570405011, 'grad_norm_feat': 0.05157797229692277}
{'round': 43, 'grad_norm_head': 0.013474612086671826, 'grad_norm_feat': 0.05088174355079777}
{'round': 44, 'grad_norm_head': 0.01320541848909817, 'grad_norm_feat': 0.05040792559639297}
{'round': 45, 'grad_norm_head': 0.0129191077711195, 'grad_norm_feat': 0.04973828726866782}
{'round': 46, 'grad_norm_head': 0.01265657102073689, 'grad_norm_feat': 0.04907827363473033}
{'round': 47, 'grad_norm_head': 0.012406239585090862, 'grad_norm_feat': 0.04827101525636856}
{'round': 48, 'grad_norm_head': 0.012161044820998794, 'grad_norm_feat': 0.04771642436063024}
{'round': 49, 'grad_norm_head': 0.011916632426272193, 'grad_norm_feat': 0.04714485301247923}
{'round': 50, 'grad_norm_head': 0.011686534708857395, 'grad_norm_feat': 0.046546043845397955}
{'round': 51, 'grad_norm_head': 0.011463389880576385, 'grad_norm_feat': 0.046067424053934374}
{'round': 52, 'grad_norm_head': 0.011247488857234882, 'grad_norm_feat': 0.0456179772641596}
{'round': 53, 'grad_norm_head': 0.011032109804492315, 'grad_norm_feat': 0.0451137545592929}
{'round': 54, 'grad_norm_head': 0.01083017693119936, 'grad_norm_feat': 0.04459904950107022}
{'round': 55, 'grad_norm_head': 0.010638263685647922, 'grad_norm_feat': 0.04413908783713756}
{'round': 56, 'grad_norm_head': 0.010431914775388082, 'grad_norm_feat': 0.043654662165646445}
{'round': 57, 'grad_norm_head': 0.010243904011102527, 'grad_norm_feat': 0.04302013556106211}
{'round': 58, 'grad_norm_head': 0.010060768214872468, 'grad_norm_feat': 0.04253642390483038}
{'round': 59, 'grad_norm_head': 0.009874195204181925, 'grad_norm_feat': 0.04220751413017215}
{'round': 60, 'grad_norm_head': 0.009713187442180846, 'grad_norm_feat': 0.04167900737491559}
{'round': 61, 'grad_norm_head': 0.009542367945531692, 'grad_norm_feat': 0.04114877979828845}
{'round': 62, 'grad_norm_head': 0.00938047710299009, 'grad_norm_feat': 0.04069724719210922}
{'round': 63, 'grad_norm_head': 0.009217967523774342, 'grad_norm_feat': 0.04034924049958099}
{'round': 64, 'grad_norm_head': 0.009067931449686165, 'grad_norm_feat': 0.03988589440301241}
{'round': 65, 'grad_norm_head': 0.008924685748849113, 'grad_norm_feat': 0.0394693395577319}
{'round': 66, 'grad_norm_head': 0.008791023832989851, 'grad_norm_feat': 0.03903298231790189}
{'round': 67, 'grad_norm_head': 0.008659604156203274, 'grad_norm_feat': 0.03862246142641299}
{'round': 68, 'grad_norm_head': 0.008521076210787326, 'grad_norm_feat': 0.0381968891437959}
{'round': 69, 'grad_norm_head': 0.00839245590892078, 'grad_norm_feat': 0.037924303092670836}
{'round': 70, 'grad_norm_head': 0.008260214650372213, 'grad_norm_feat': 0.03751556674425573}
{'round': 71, 'grad_norm_head': 0.008136095592891681, 'grad_norm_feat': 0.03713834538769438}
{'round': 72, 'grad_norm_head': 0.008013749783098911, 'grad_norm_feat': 0.03680711386015886}
{'round': 73, 'grad_norm_head': 0.007894151012541468, 'grad_norm_feat': 0.03647642788324114}
{'round': 74, 'grad_norm_head': 0.007785579257541323, 'grad_norm_feat': 0.03618631099404011}
{'round': 75, 'grad_norm_head': 0.0076712559765279255, 'grad_norm_feat': 0.03586351003440752}
{'round': 76, 'grad_norm_head': 0.007560737956460983, 'grad_norm_feat': 0.035500234216190515}
{'round': 77, 'grad_norm_head': 0.007463488649180662, 'grad_norm_feat': 0.03532855517713443}
{'round': 78, 'grad_norm_head': 0.0073551466179582305, 'grad_norm_feat': 0.03494596535119125}
{'round': 79, 'grad_norm_head': 0.0072533369140633285, 'grad_norm_feat': 0.034591976870990755}
{'round': 80, 'grad_norm_head': 0.007157175105221201, 'grad_norm_feat': 0.034225647385819166}
{'round': 81, 'grad_norm_head': 0.007054004744415158, 'grad_norm_feat': 0.03403169109781313}
{'round': 82, 'grad_norm_head': 0.006953968900665429, 'grad_norm_feat': 0.03362736483459443}
{'round': 83, 'grad_norm_head': 0.006857077537886713, 'grad_norm_feat': 0.033272656545953044}
{'round': 84, 'grad_norm_head': 0.006764234058627394, 'grad_norm_feat': 0.032891177925591465}
