{'round': 0, 'grad_norm_head': 0.40582040802220287, 'grad_norm_feat': 0.6284170352294614}
{'round': 1, 'grad_norm_head': 0.30822900590683283, 'grad_norm_feat': 0.5950073597957343}
{'round': 2, 'grad_norm_head': 0.2323932709543667, 'grad_norm_feat': 0.518504072335055}
{'round': 3, 'grad_norm_head': 0.15720064742584028, 'grad_norm_feat': 0.4081736241226075}
{'round': 4, 'grad_norm_head': 0.11228661123017103, 'grad_norm_feat': 0.33392625458166403}
{'round': 5, 'grad_norm_head': 0.08715289181065398, 'grad_norm_feat': 0.28774245095397066}
{'round': 6, 'grad_norm_head': 0.07214950464511977, 'grad_norm_feat': 0.2576898115198884}
{'round': 7, 'grad_norm_head': 0.062322879792956594, 'grad_norm_feat': 0.23623244356076195}
{'round': 8, 'grad_norm_head': 0.05519940506973604, 'grad_norm_feat': 0.22003107279527703}
{'round': 9, 'grad_norm_head': 0.04984274419844616, 'grad_norm_feat': 0.20619780317968664}
{'round': 10, 'grad_norm_head': 0.04554231062121466, 'grad_norm_feat': 0.1948676051973103}
{'round': 11, 'grad_norm_head': 0.04192006194080943, 'grad_norm_feat': 0.18460679958476456}
{'round': 12, 'grad_norm_head': 0.03895903098471319, 'grad_norm_feat': 0.1755947577773068}
{'round': 13, 'grad_norm_head': 0.03646229963042435, 'grad_norm_feat': 0.16740231515870466}
{'round': 14, 'grad_norm_head': 0.034214320810371825, 'grad_norm_feat': 0.16028062595356532}
{'round': 15, 'grad_norm_head': 0.03226705227405321, 'grad_norm_feat': 0.15367009411137542}
{'round': 16, 'grad_norm_head': 0.03049064102285706, 'grad_norm_feat': 0.14823392870685814}
{'round': 17, 'grad_norm_head': 0.02899143242225, 'grad_norm_feat': 0.14292277546627757}
{'round': 18, 'grad_norm_head': 0.027586185441445248, 'grad_norm_feat': 0.1382070984644909}
{'round': 19, 'grad_norm_head': 0.02638005910054387, 'grad_norm_feat': 0.13411763114992048}
{'round': 20, 'grad_norm_head': 0.025316424849113856, 'grad_norm_feat': 0.13029190526534343}
{'round': 21, 'grad_norm_head': 0.024341883262325135, 'grad_norm_feat': 0.12707755094864726}
{'round': 22, 'grad_norm_head': 0.023435668319749806, 'grad_norm_feat': 0.12456035392390691}
{'round': 23, 'grad_norm_head': 0.022597926890757087, 'grad_norm_feat': 0.1218674293929018}
{'round': 24, 'grad_norm_head': 0.02184148937813459, 'grad_norm_feat': 0.11936489643513727}
{'round': 25, 'grad_norm_head': 0.021130037930642637, 'grad_norm_feat': 0.11660789060959781}
