{'round': 0, 'grad_norm_head': 0.6067924198931416, 'grad_norm_feat': 1.0865679836888404}
{'round': 1, 'grad_norm_head': 0.37086369569020555, 'grad_norm_feat': 0.8596125223521377}
{'round': 2, 'grad_norm_head': 0.24629296240271106, 'grad_norm_feat': 0.6299004374255064}
{'round': 3, 'grad_norm_head': 0.1742159042055573, 'grad_norm_feat': 0.46807184592008283}
{'round': 4, 'grad_norm_head': 0.12990726057178364, 'grad_norm_feat': 0.36452649280589094}
{'round': 5, 'grad_norm_head': 0.102220980432619, 'grad_norm_feat': 0.2992299842467158}
{'round': 6, 'grad_norm_head': 0.0843623458834097, 'grad_norm_feat': 0.2571200538091806}
{'round': 7, 'grad_norm_head': 0.07213564526650704, 'grad_norm_feat': 0.22795542734056173}
{'round': 8, 'grad_norm_head': 0.06344622275232929, 'grad_norm_feat': 0.20721986280159568}
{'round': 9, 'grad_norm_head': 0.056967037256968674, 'grad_norm_feat': 0.1912772868863828}
{'round': 10, 'grad_norm_head': 0.05201383716933647, 'grad_norm_feat': 0.17808786834869922}
{'round': 11, 'grad_norm_head': 0.04788821146428739, 'grad_norm_feat': 0.16747409477718977}
{'round': 12, 'grad_norm_head': 0.044455026906956616, 'grad_norm_feat': 0.15858369238956843}
{'round': 13, 'grad_norm_head': 0.041548650174360525, 'grad_norm_feat': 0.15060763038043448}
{'round': 14, 'grad_norm_head': 0.0390189442454764, 'grad_norm_feat': 0.14347204234420938}
{'round': 15, 'grad_norm_head': 0.03680245970698231, 'grad_norm_feat': 0.13716910613278907}
{'round': 16, 'grad_norm_head': 0.03489259611946771, 'grad_norm_feat': 0.1314971211194376}
{'round': 17, 'grad_norm_head': 0.033160335535471305, 'grad_norm_feat': 0.1265328271350585}
{'round': 18, 'grad_norm_head': 0.031611922742217816, 'grad_norm_feat': 0.12224987748935362}
{'round': 19, 'grad_norm_head': 0.03022811021339445, 'grad_norm_feat': 0.11823009187945181}
{'round': 20, 'grad_norm_head': 0.029015454625402236, 'grad_norm_feat': 0.11456836434405021}
{'round': 21, 'grad_norm_head': 0.027911054885518188, 'grad_norm_feat': 0.11168327438465435}
{'round': 22, 'grad_norm_head': 0.02689793330659709, 'grad_norm_feat': 0.10854703779073804}
{'round': 23, 'grad_norm_head': 0.025990159564713518, 'grad_norm_feat': 0.1059830821590567}
{'round': 24, 'grad_norm_head': 0.025160457692089633, 'grad_norm_feat': 0.10326053476668957}
{'round': 25, 'grad_norm_head': 0.024397515159001248, 'grad_norm_feat': 0.10074373941392767}
{'round': 26, 'grad_norm_head': 0.023709826512948208, 'grad_norm_feat': 0.09875248495859848}
{'round': 27, 'grad_norm_head': 0.023071909049448915, 'grad_norm_feat': 0.0971443210711501}
{'round': 28, 'grad_norm_head': 0.022498198156276964, 'grad_norm_feat': 0.09526202108501838}
{'round': 29, 'grad_norm_head': 0.021943676751745876, 'grad_norm_feat': 0.09366305990313362}
{'round': 30, 'grad_norm_head': 0.021414714053453635, 'grad_norm_feat': 0.09208822272243034}
{'round': 31, 'grad_norm_head': 0.020912129294860037, 'grad_norm_feat': 0.09061898348199372}
{'round': 32, 'grad_norm_head': 0.020464737640756323, 'grad_norm_feat': 0.08902224049472361}
{'round': 33, 'grad_norm_head': 0.02001992956560903, 'grad_norm_feat': 0.08769582073728163}
{'round': 34, 'grad_norm_head': 0.019622771700239336, 'grad_norm_feat': 0.08657528814961338}
{'round': 35, 'grad_norm_head': 0.019240645371739216, 'grad_norm_feat': 0.0853090780289004}
{'round': 36, 'grad_norm_head': 0.018853117558244297, 'grad_norm_feat': 0.08406209315287369}
{'round': 37, 'grad_norm_head': 0.01850175542094418, 'grad_norm_feat': 0.08299172580966961}
{'round': 38, 'grad_norm_head': 0.018173360220349065, 'grad_norm_feat': 0.08201732947385518}
{'round': 39, 'grad_norm_head': 0.01786819082749803, 'grad_norm_feat': 0.0807150253211742}
{'round': 40, 'grad_norm_head': 0.017579107812545677, 'grad_norm_feat': 0.07976307926097849}
{'round': 41, 'grad_norm_head': 0.017282976530994112, 'grad_norm_feat': 0.0790068762287039}
{'round': 42, 'grad_norm_head': 0.017004771488429656, 'grad_norm_feat': 0.07805621810548746}
{'round': 43, 'grad_norm_head': 0.016746929675351737, 'grad_norm_feat': 0.07730111264385799}
{'round': 44, 'grad_norm_head': 0.01650329587559654, 'grad_norm_feat': 0.0765401949542282}
{'round': 45, 'grad_norm_head': 0.016268870755502637, 'grad_norm_feat': 0.07579449105641085}
{'round': 46, 'grad_norm_head': 0.016029817309716227, 'grad_norm_feat': 0.07510921632800137}
{'round': 47, 'grad_norm_head': 0.015790756819699544, 'grad_norm_feat': 0.07450562514692627}
{'round': 48, 'grad_norm_head': 0.015566408825372196, 'grad_norm_feat': 0.0738947750178386}
