{'round': 0, 'grad_norm_head': 4.950489761837389, 'grad_norm_feat': 6.562421597768907}
{'round': 1, 'grad_norm_head': 3.9098767193085187, 'grad_norm_feat': 6.819377918462935}
{'round': 2, 'grad_norm_head': 2.727161486500833, 'grad_norm_feat': 5.720659929868604}
{'round': 3, 'grad_norm_head': 2.166120775968005, 'grad_norm_feat': 4.942657886263999}
{'round': 4, 'grad_norm_head': 1.8056008186342054, 'grad_norm_feat': 4.233301822229437}
{'round': 5, 'grad_norm_head': 1.4697708386277322, 'grad_norm_feat': 3.504533345150617}
{'round': 6, 'grad_norm_head': 1.2581515941282784, 'grad_norm_feat': 3.0088869490046566}
{'round': 7, 'grad_norm_head': 1.0655104243782478, 'grad_norm_feat': 2.5613163587479217}
{'round': 8, 'grad_norm_head': 0.9421234868100752, 'grad_norm_feat': 2.238856416227374}
{'round': 9, 'grad_norm_head': 0.8541365855804937, 'grad_norm_feat': 1.9944578840256768}
{'round': 10, 'grad_norm_head': 0.8062439491941096, 'grad_norm_feat': 1.8819376995617447}
{'round': 11, 'grad_norm_head': 0.7605278520434912, 'grad_norm_feat': 1.7556053851283644}
{'round': 12, 'grad_norm_head': 0.7429155058788839, 'grad_norm_feat': 1.680353502212722}
{'round': 13, 'grad_norm_head': 0.7256944213485984, 'grad_norm_feat': 1.6460061466504483}
{'round': 14, 'grad_norm_head': 0.6876458228084033, 'grad_norm_feat': 1.5384687640656167}
{'round': 15, 'grad_norm_head': 0.6599637556758057, 'grad_norm_feat': 1.4795233556389753}
{'round': 16, 'grad_norm_head': 0.6442554237564001, 'grad_norm_feat': 1.4277203624638484}
{'round': 17, 'grad_norm_head': 0.6253129784835904, 'grad_norm_feat': 1.3798421065115478}
{'round': 18, 'grad_norm_head': 0.6031727670390017, 'grad_norm_feat': 1.3184401418542149}
{'round': 19, 'grad_norm_head': 0.5909694583475964, 'grad_norm_feat': 1.3027323679719998}
{'round': 20, 'grad_norm_head': 0.5758280521770338, 'grad_norm_feat': 1.2720246658553869}
{'round': 21, 'grad_norm_head': 0.5644962652252168, 'grad_norm_feat': 1.2294729785339416}
{'round': 22, 'grad_norm_head': 0.5572981310359374, 'grad_norm_feat': 1.2104983908011602}
{'round': 23, 'grad_norm_head': 0.532508141711465, 'grad_norm_feat': 1.161966025005612}
{'round': 24, 'grad_norm_head': 0.5140957025028362, 'grad_norm_feat': 1.1204445785029324}
{'round': 25, 'grad_norm_head': 0.4983519692550607, 'grad_norm_feat': 1.0860877314333761}
{'round': 26, 'grad_norm_head': 0.4969028237314489, 'grad_norm_feat': 1.0813150854059101}
{'round': 27, 'grad_norm_head': 0.49156175961247467, 'grad_norm_feat': 1.072059169206797}
{'round': 28, 'grad_norm_head': 0.4753314208620848, 'grad_norm_feat': 1.0434437058302592}
{'round': 29, 'grad_norm_head': 0.47262278085391035, 'grad_norm_feat': 1.0388800301765204}
{'round': 30, 'grad_norm_head': 0.4558502112913326, 'grad_norm_feat': 1.0007425363908529}
{'round': 31, 'grad_norm_head': 0.45252948725633996, 'grad_norm_feat': 1.0001687360865237}
{'round': 32, 'grad_norm_head': 0.4383941554386148, 'grad_norm_feat': 0.9843492473136114}
{'round': 33, 'grad_norm_head': 0.4275557456976679, 'grad_norm_feat': 0.9627845180005897}
{'round': 34, 'grad_norm_head': 0.4151585289649477, 'grad_norm_feat': 0.9335593867503041}
{'round': 35, 'grad_norm_head': 0.4045228032935738, 'grad_norm_feat': 0.9118929433248769}
{'round': 36, 'grad_norm_head': 0.3916343532443761, 'grad_norm_feat': 0.8886042170119027}
{'round': 37, 'grad_norm_head': 0.3730682568092612, 'grad_norm_feat': 0.8455990160484237}
