{'round': 0, 'grad_norm_head': 2.0858383974109604, 'grad_norm_feat': 2.588797625785713}
{'round': 1, 'grad_norm_head': 2.128251799599057, 'grad_norm_feat': 3.381426809322967}
{'round': 2, 'grad_norm_head': 2.3764441403006664, 'grad_norm_feat': 4.281169036016917}
{'round': 3, 'grad_norm_head': 2.3915790937196286, 'grad_norm_feat': 4.655251551177205}
{'round': 4, 'grad_norm_head': 2.2056396377840177, 'grad_norm_feat': 4.5794351115075465}
{'round': 5, 'grad_norm_head': 1.980845427192537, 'grad_norm_feat': 4.346822499214971}
{'round': 6, 'grad_norm_head': 1.7386400958960673, 'grad_norm_feat': 3.9746493791213213}
{'round': 7, 'grad_norm_head': 1.5373825573869548, 'grad_norm_feat': 3.6637274041892534}
{'round': 8, 'grad_norm_head': 1.3963169818010976, 'grad_norm_feat': 3.4034147996404682}
{'round': 9, 'grad_norm_head': 1.255994692186449, 'grad_norm_feat': 3.1411441730273895}
{'round': 10, 'grad_norm_head': 1.142210255406812, 'grad_norm_feat': 2.927844476893887}
{'round': 11, 'grad_norm_head': 1.0293471735345883, 'grad_norm_feat': 2.66182711522719}
{'round': 12, 'grad_norm_head': 0.9503720220168802, 'grad_norm_feat': 2.481773216161048}
{'round': 13, 'grad_norm_head': 0.8607404317898527, 'grad_norm_feat': 2.2717340506116552}
{'round': 14, 'grad_norm_head': 0.7779003023637416, 'grad_norm_feat': 2.074740168429449}
{'round': 15, 'grad_norm_head': 0.7178998020004478, 'grad_norm_feat': 1.9272350075100395}
{'round': 16, 'grad_norm_head': 0.6619678439192173, 'grad_norm_feat': 1.7774824950644668}
{'round': 17, 'grad_norm_head': 0.6121529723042112, 'grad_norm_feat': 1.6498083926011005}
{'round': 18, 'grad_norm_head': 0.5582049601755625, 'grad_norm_feat': 1.5056935354099075}
{'round': 19, 'grad_norm_head': 0.5118738934619622, 'grad_norm_feat': 1.3787448079455085}
{'round': 20, 'grad_norm_head': 0.47633045423049, 'grad_norm_feat': 1.2760823505965924}
{'round': 21, 'grad_norm_head': 0.44584099788764636, 'grad_norm_feat': 1.1888847797648365}
{'round': 22, 'grad_norm_head': 0.4168790763528754, 'grad_norm_feat': 1.1061499084405968}
{'round': 23, 'grad_norm_head': 0.39497699549128606, 'grad_norm_feat': 1.0417656149979444}
{'round': 24, 'grad_norm_head': 0.37686729299591853, 'grad_norm_feat': 0.9864943483108745}
{'round': 25, 'grad_norm_head': 0.3582194519279379, 'grad_norm_feat': 0.9318604552938217}
{'round': 26, 'grad_norm_head': 0.3408409225021912, 'grad_norm_feat': 0.885557462437991}
{'round': 27, 'grad_norm_head': 0.32496026364949127, 'grad_norm_feat': 0.8429387901870129}
{'round': 28, 'grad_norm_head': 0.3070220628035484, 'grad_norm_feat': 0.7935271620452501}
{'round': 29, 'grad_norm_head': 0.2934234323346613, 'grad_norm_feat': 0.7545944615631187}
{'round': 30, 'grad_norm_head': 0.28280512915231415, 'grad_norm_feat': 0.7240987598137204}
{'round': 31, 'grad_norm_head': 0.26813178887631495, 'grad_norm_feat': 0.6848401490600502}
{'round': 32, 'grad_norm_head': 0.25947702816459517, 'grad_norm_feat': 0.6602327771968124}
{'round': 33, 'grad_norm_head': 0.24925766127207738, 'grad_norm_feat': 0.6347294520353602}
{'round': 34, 'grad_norm_head': 0.23767255410570165, 'grad_norm_feat': 0.6042666861577357}
{'round': 35, 'grad_norm_head': 0.22837217524607925, 'grad_norm_feat': 0.5793304374808983}
{'round': 36, 'grad_norm_head': 0.21638579748848072, 'grad_norm_feat': 0.547215405479694}
{'round': 37, 'grad_norm_head': 0.20925416809817393, 'grad_norm_feat': 0.5272441700605744}
{'round': 38, 'grad_norm_head': 0.19940062997905095, 'grad_norm_feat': 0.5013416915642046}
{'round': 39, 'grad_norm_head': 0.18965785673577562, 'grad_norm_feat': 0.47562249772332416}
{'round': 40, 'grad_norm_head': 0.18052927307570335, 'grad_norm_feat': 0.45351980812070997}
{'round': 41, 'grad_norm_head': 0.17212045169529985, 'grad_norm_feat': 0.43046901179284114}
{'round': 42, 'grad_norm_head': 0.16410094395172925, 'grad_norm_feat': 0.4110003635085607}
{'round': 43, 'grad_norm_head': 0.1597412881604915, 'grad_norm_feat': 0.3978966417677157}
{'round': 44, 'grad_norm_head': 0.1526553145094184, 'grad_norm_feat': 0.38013441772443246}
{'round': 45, 'grad_norm_head': 0.14606044936315674, 'grad_norm_feat': 0.36404274449440976}
{'round': 46, 'grad_norm_head': 0.13914389727233945, 'grad_norm_feat': 0.34703684908202925}
{'round': 47, 'grad_norm_head': 0.13273332676573432, 'grad_norm_feat': 0.33044370217101376}
{'round': 48, 'grad_norm_head': 0.12613107288419104, 'grad_norm_feat': 0.31547491037111164}
{'round': 49, 'grad_norm_head': 0.12036884813201686, 'grad_norm_feat': 0.3014115285540388}
{'round': 50, 'grad_norm_head': 0.11464075889071786, 'grad_norm_feat': 0.28725761607965816}
{'round': 51, 'grad_norm_head': 0.10843691111901621, 'grad_norm_feat': 0.27459915113144023}
{'round': 52, 'grad_norm_head': 0.10129346468588016, 'grad_norm_feat': 0.2564297462442189}
{'round': 53, 'grad_norm_head': 0.09731331356402576, 'grad_norm_feat': 0.2464806232306316}
