{'round': 0, 'grad_norm_head': 3.2949620373185766, 'grad_norm_feat': 5.971832429522079}
{'round': 1, 'grad_norm_head': 2.8716205971056463, 'grad_norm_feat': 5.3699619968564285}
{'round': 2, 'grad_norm_head': 2.3790153823266884, 'grad_norm_feat': 4.44866371959378}
{'round': 3, 'grad_norm_head': 2.3359646033058756, 'grad_norm_feat': 4.2374933799419185}
{'round': 4, 'grad_norm_head': 2.215757851620693, 'grad_norm_feat': 3.8383650672541654}
{'round': 5, 'grad_norm_head': 2.0855111723086392, 'grad_norm_feat': 3.499774088701823}
{'round': 6, 'grad_norm_head': 1.9567819868861704, 'grad_norm_feat': 3.1792502384975063}
{'round': 7, 'grad_norm_head': 1.7853890059381112, 'grad_norm_feat': 2.841658578189258}
{'round': 8, 'grad_norm_head': 1.6216115404093043, 'grad_norm_feat': 2.5259642501839252}
{'round': 9, 'grad_norm_head': 1.4873098531070097, 'grad_norm_feat': 2.2716680476323208}
{'round': 10, 'grad_norm_head': 1.3688552021213518, 'grad_norm_feat': 2.0778037893288843}
{'round': 11, 'grad_norm_head': 1.2617626250973961, 'grad_norm_feat': 1.9035029123454899}
{'round': 12, 'grad_norm_head': 1.165585644761687, 'grad_norm_feat': 1.7425610323229355}
{'round': 13, 'grad_norm_head': 1.0943827218984747, 'grad_norm_feat': 1.6384474291806526}
{'round': 14, 'grad_norm_head': 1.0361823415358253, 'grad_norm_feat': 1.5519338672970815}
{'round': 15, 'grad_norm_head': 1.0567738004558118, 'grad_norm_feat': 1.5831959286220574}
{'round': 16, 'grad_norm_head': 1.0081429850021166, 'grad_norm_feat': 1.5052891680224827}
{'round': 17, 'grad_norm_head': 1.0076790730635283, 'grad_norm_feat': 1.5034434656971054}
{'round': 18, 'grad_norm_head': 0.961907145310805, 'grad_norm_feat': 1.4281216440584488}
{'round': 19, 'grad_norm_head': 0.9315428871703494, 'grad_norm_feat': 1.3889407269073173}
{'round': 20, 'grad_norm_head': 0.8857591327582987, 'grad_norm_feat': 1.3056169911424076}
{'round': 21, 'grad_norm_head': 0.866277133918828, 'grad_norm_feat': 1.2806617598504322}
{'round': 22, 'grad_norm_head': 0.8201668159648201, 'grad_norm_feat': 1.2104701874912152}
{'round': 23, 'grad_norm_head': 0.7851292309790562, 'grad_norm_feat': 1.1600282636790145}
{'round': 24, 'grad_norm_head': 0.7360796408134401, 'grad_norm_feat': 1.1002074124560837}
{'round': 25, 'grad_norm_head': 0.715624812497924, 'grad_norm_feat': 1.0684186064990837}
{'round': 26, 'grad_norm_head': 0.6872860755346833, 'grad_norm_feat': 1.0316410397332023}
{'round': 27, 'grad_norm_head': 0.6667981805772911, 'grad_norm_feat': 1.0033441177851923}
{'round': 28, 'grad_norm_head': 0.6290391182736801, 'grad_norm_feat': 0.9438652552656692}
{'round': 29, 'grad_norm_head': 0.5911780553620705, 'grad_norm_feat': 0.8995955432141285}
{'round': 30, 'grad_norm_head': 0.558183483827178, 'grad_norm_feat': 0.8489207588169572}
{'round': 31, 'grad_norm_head': 0.5323930837554413, 'grad_norm_feat': 0.8095460147171495}
{'round': 32, 'grad_norm_head': 0.5032570544147037, 'grad_norm_feat': 0.7640599337089049}
{'round': 33, 'grad_norm_head': 0.46295404385696043, 'grad_norm_feat': 0.7094305778396788}
{'round': 34, 'grad_norm_head': 0.44883580901124437, 'grad_norm_feat': 0.6903015314138459}
{'round': 35, 'grad_norm_head': 0.4255914032016079, 'grad_norm_feat': 0.6536492298068397}
{'round': 36, 'grad_norm_head': 0.4121809599435396, 'grad_norm_feat': 0.6336197558383706}
{'round': 37, 'grad_norm_head': 0.3904392712035464, 'grad_norm_feat': 0.6032154132672993}
{'round': 38, 'grad_norm_head': 0.3601432973180778, 'grad_norm_feat': 0.5572059587495599}
{'round': 39, 'grad_norm_head': 0.34161112281060063, 'grad_norm_feat': 0.5309015347534655}
{'round': 40, 'grad_norm_head': 0.32648281375744, 'grad_norm_feat': 0.5088425236438561}
{'round': 41, 'grad_norm_head': 0.29783868050615053, 'grad_norm_feat': 0.46507986778549826}
{'round': 42, 'grad_norm_head': 0.28960582441469196, 'grad_norm_feat': 0.45371610501702236}
{'round': 43, 'grad_norm_head': 0.2778322032800564, 'grad_norm_feat': 0.4374855846050177}
{'round': 44, 'grad_norm_head': 0.26052786201276956, 'grad_norm_feat': 0.41170098365188174}
{'round': 45, 'grad_norm_head': 0.238903531391434, 'grad_norm_feat': 0.3781439307361273}
{'round': 46, 'grad_norm_head': 0.21823279142057403, 'grad_norm_feat': 0.34620358394665357}
{'round': 47, 'grad_norm_head': 0.21448378403952736, 'grad_norm_feat': 0.34038558224519605}
{'round': 48, 'grad_norm_head': 0.20106983429485348, 'grad_norm_feat': 0.31978495892779607}
{'round': 49, 'grad_norm_head': 0.1910638973191718, 'grad_norm_feat': 0.3059267644125488}
{'round': 50, 'grad_norm_head': 0.17519224868004032, 'grad_norm_feat': 0.2810135374733748}
{'round': 51, 'grad_norm_head': 0.1751759368778425, 'grad_norm_feat': 0.28151457596375806}
{'round': 52, 'grad_norm_head': 0.1632032500817856, 'grad_norm_feat': 0.2617126637302921}
{'round': 53, 'grad_norm_head': 0.15238724469155368, 'grad_norm_feat': 0.24412509209639818}
{'round': 54, 'grad_norm_head': 0.1429827026122139, 'grad_norm_feat': 0.23080946772848315}
{'round': 55, 'grad_norm_head': 0.1448687546136992, 'grad_norm_feat': 0.23474497904301428}
{'round': 56, 'grad_norm_head': 0.1338714396907174, 'grad_norm_feat': 0.2171884561948674}
{'round': 57, 'grad_norm_head': 0.13419813110687887, 'grad_norm_feat': 0.2185574771940087}
{'round': 58, 'grad_norm_head': 0.11371213087821389, 'grad_norm_feat': 0.1850139874693126}
{'round': 59, 'grad_norm_head': 0.11071382810527837, 'grad_norm_feat': 0.18060710973117036}
{'round': 60, 'grad_norm_head': 0.1098346627822709, 'grad_norm_feat': 0.17870167885653487}
{'round': 61, 'grad_norm_head': 0.10452778676695786, 'grad_norm_feat': 0.17109721464413577}
{'round': 62, 'grad_norm_head': 0.10479827426685254, 'grad_norm_feat': 0.17205858167405036}
{'round': 63, 'grad_norm_head': 0.09641967037310047, 'grad_norm_feat': 0.15828447228601736}
{'round': 64, 'grad_norm_head': 0.0938937089479805, 'grad_norm_feat': 0.1544083197491929}
{'round': 65, 'grad_norm_head': 0.09372654902588783, 'grad_norm_feat': 0.1545036335081589}
{'round': 66, 'grad_norm_head': 0.08708048670174438, 'grad_norm_feat': 0.1430319250934455}
{'round': 67, 'grad_norm_head': 0.0934446051422369, 'grad_norm_feat': 0.15373306494545094}
{'round': 68, 'grad_norm_head': 0.08057207638217775, 'grad_norm_feat': 0.1328872643788016}
{'round': 69, 'grad_norm_head': 0.08859049820968842, 'grad_norm_feat': 0.14561884157487384}
{'round': 70, 'grad_norm_head': 0.08467081310830274, 'grad_norm_feat': 0.14036577012052348}
{'round': 71, 'grad_norm_head': 0.07366574882796886, 'grad_norm_feat': 0.12206140067388183}
{'round': 72, 'grad_norm_head': 0.07824282760439326, 'grad_norm_feat': 0.12983875022235128}
{'round': 73, 'grad_norm_head': 0.07332537305646163, 'grad_norm_feat': 0.12208797680378296}
{'round': 74, 'grad_norm_head': 0.07352734331308369, 'grad_norm_feat': 0.12366000198856673}
{'round': 75, 'grad_norm_head': 0.06796327053056155, 'grad_norm_feat': 0.11397403919489771}
{'round': 76, 'grad_norm_head': 0.06946667090812593, 'grad_norm_feat': 0.11706157005852763}
{'round': 77, 'grad_norm_head': 0.0751552025226536, 'grad_norm_feat': 0.12628798623377488}
{'round': 78, 'grad_norm_head': 0.0539516672551143, 'grad_norm_feat': 0.09091656874396127}
{'round': 79, 'grad_norm_head': 0.06875231150109397, 'grad_norm_feat': 0.11559310686169992}
{'round': 80, 'grad_norm_head': 0.05289418339560522, 'grad_norm_feat': 0.08892389212986927}
{'round': 81, 'grad_norm_head': 0.06416194298806721, 'grad_norm_feat': 0.10854278384775476}
{'round': 82, 'grad_norm_head': 0.054577872183509415, 'grad_norm_feat': 0.09169525553793648}
{'round': 83, 'grad_norm_head': 0.05675774203945087, 'grad_norm_feat': 0.09606001049961312}
{'round': 84, 'grad_norm_head': 0.05094220935583633, 'grad_norm_feat': 0.08607202515995796}
{'round': 85, 'grad_norm_head': 0.06024148285032186, 'grad_norm_feat': 0.10153053760272839}
{'round': 86, 'grad_norm_head': 0.05299452547746414, 'grad_norm_feat': 0.08966107572144334}
{'round': 87, 'grad_norm_head': 0.048626620807768826, 'grad_norm_feat': 0.08255796884296536}
{'round': 88, 'grad_norm_head': 0.054583712663843154, 'grad_norm_feat': 0.09248277443214212}
