{'round': 0, 'grad_norm_head': 0.3194162049290761, 'grad_norm_feat': 0.648867500046468}
{'round': 1, 'grad_norm_head': 0.42975517092878185, 'grad_norm_feat': 0.7881249729165147}
{'round': 2, 'grad_norm_head': 0.50678181290704, 'grad_norm_feat': 0.8184366986000161}
{'round': 3, 'grad_norm_head': 0.4465983941360453, 'grad_norm_feat': 0.7163364334222148}
{'round': 4, 'grad_norm_head': 0.3720496079827763, 'grad_norm_feat': 0.5955402775989977}
{'round': 5, 'grad_norm_head': 0.3100848306069248, 'grad_norm_feat': 0.4928403514579773}
{'round': 6, 'grad_norm_head': 0.25721945837294874, 'grad_norm_feat': 0.4000335593132604}
{'round': 7, 'grad_norm_head': 0.21642683612672783, 'grad_norm_feat': 0.33193281313743667}
{'round': 8, 'grad_norm_head': 0.18430144012985175, 'grad_norm_feat': 0.2827990775168746}
{'round': 9, 'grad_norm_head': 0.15769737598234332, 'grad_norm_feat': 0.2422464565777068}
{'round': 10, 'grad_norm_head': 0.13702320915344385, 'grad_norm_feat': 0.21291663279526696}
{'round': 11, 'grad_norm_head': 0.11870494798336137, 'grad_norm_feat': 0.18597152992926788}
{'round': 12, 'grad_norm_head': 0.10285449059506321, 'grad_norm_feat': 0.16301515316874493}
{'round': 13, 'grad_norm_head': 0.0885688559478677, 'grad_norm_feat': 0.14267995586750098}
{'round': 14, 'grad_norm_head': 0.0767645966621186, 'grad_norm_feat': 0.12473956049572034}
{'round': 15, 'grad_norm_head': 0.06687011229618561, 'grad_norm_feat': 0.10948237589454493}
{'round': 16, 'grad_norm_head': 0.05818998738141728, 'grad_norm_feat': 0.09595228440625912}
{'round': 17, 'grad_norm_head': 0.05088488918702066, 'grad_norm_feat': 0.08351240807997219}
{'round': 18, 'grad_norm_head': 0.044768548719463064, 'grad_norm_feat': 0.07413067230346906}
{'round': 19, 'grad_norm_head': 0.03949388676893315, 'grad_norm_feat': 0.06592639059409859}
{'round': 20, 'grad_norm_head': 0.03513682040890991, 'grad_norm_feat': 0.059260415983212}
{'round': 21, 'grad_norm_head': 0.03132234383066446, 'grad_norm_feat': 0.05350156763748757}
{'round': 22, 'grad_norm_head': 0.028170811400033535, 'grad_norm_feat': 0.04839280560751577}
{'round': 23, 'grad_norm_head': 0.025331926780498507, 'grad_norm_feat': 0.04389371525784143}
{'round': 24, 'grad_norm_head': 0.022793057912174466, 'grad_norm_feat': 0.03986017330570578}
{'round': 25, 'grad_norm_head': 0.020685360082321958, 'grad_norm_feat': 0.03654249324895356}
{'round': 26, 'grad_norm_head': 0.01884938937482901, 'grad_norm_feat': 0.033726577239437866}
{'round': 27, 'grad_norm_head': 0.017273966162500237, 'grad_norm_feat': 0.031256961038456155}
{'round': 28, 'grad_norm_head': 0.015885207796098595, 'grad_norm_feat': 0.029164495722767646}
{'round': 29, 'grad_norm_head': 0.014670800254168628, 'grad_norm_feat': 0.027356147412089374}
{'round': 30, 'grad_norm_head': 0.013559514140860044, 'grad_norm_feat': 0.02572729125943031}
{'round': 31, 'grad_norm_head': 0.012601437051677211, 'grad_norm_feat': 0.0243355756614995}
{'round': 32, 'grad_norm_head': 0.011696536022003786, 'grad_norm_feat': 0.02290605512656768}
{'round': 33, 'grad_norm_head': 0.010910886458993936, 'grad_norm_feat': 0.021713923938971823}
{'round': 34, 'grad_norm_head': 0.01021638595374984, 'grad_norm_feat': 0.02067859819055162}
{'round': 35, 'grad_norm_head': 0.00957877389727591, 'grad_norm_feat': 0.019696559473679324}
{'round': 36, 'grad_norm_head': 0.00901609169770684, 'grad_norm_feat': 0.018810756194809434}
{'round': 37, 'grad_norm_head': 0.00852426763866119, 'grad_norm_feat': 0.018051359801747748}
{'round': 38, 'grad_norm_head': 0.008087544227698576, 'grad_norm_feat': 0.017353767541263547}
{'round': 39, 'grad_norm_head': 0.007709244747948102, 'grad_norm_feat': 0.016759547440343026}
{'round': 40, 'grad_norm_head': 0.007368213109266319, 'grad_norm_feat': 0.016294079292336915}
{'round': 41, 'grad_norm_head': 0.007074306432387044, 'grad_norm_feat': 0.01587102335418026}
{'round': 42, 'grad_norm_head': 0.006803975135094229, 'grad_norm_feat': 0.015471561025060497}
{'round': 43, 'grad_norm_head': 0.006558522106117351, 'grad_norm_feat': 0.015112954664322205}
{'round': 44, 'grad_norm_head': 0.006331357425468326, 'grad_norm_feat': 0.014793852669436948}
{'round': 45, 'grad_norm_head': 0.0061355626313793245, 'grad_norm_feat': 0.014501339925909957}
{'round': 46, 'grad_norm_head': 0.005962544625035134, 'grad_norm_feat': 0.014255418058169073}
{'round': 47, 'grad_norm_head': 0.005801009289665207, 'grad_norm_feat': 0.014010951369040443}
{'round': 48, 'grad_norm_head': 0.005662392939614039, 'grad_norm_feat': 0.013806889358471366}
{'round': 49, 'grad_norm_head': 0.005518981998553566, 'grad_norm_feat': 0.013566660020835855}
{'round': 50, 'grad_norm_head': 0.005401150310527053, 'grad_norm_feat': 0.013383349711317681}
{'round': 51, 'grad_norm_head': 0.005277657195942522, 'grad_norm_feat': 0.013166438979645454}
{'round': 52, 'grad_norm_head': 0.005168543100817683, 'grad_norm_feat': 0.012976682058326848}
{'round': 53, 'grad_norm_head': 0.005068750033983726, 'grad_norm_feat': 0.012793948124371877}
