{'round': 0, 'grad_norm_head': 1.7689840049100654, 'grad_norm_feat': 2.221694487618334}
{'round': 1, 'grad_norm_head': 1.7820384708524397, 'grad_norm_feat': 2.1501060993550882}
{'round': 2, 'grad_norm_head': 1.8884255344138257, 'grad_norm_feat': 2.2325896139307835}
{'round': 3, 'grad_norm_head': 1.859980555913022, 'grad_norm_feat': 2.157888040076557}
{'round': 4, 'grad_norm_head': 1.7244038452319004, 'grad_norm_feat': 1.9984793520612023}
{'round': 5, 'grad_norm_head': 1.565996195996494, 'grad_norm_feat': 1.8381342939063874}
{'round': 6, 'grad_norm_head': 1.4117516264500554, 'grad_norm_feat': 1.6806737558616474}
{'round': 7, 'grad_norm_head': 1.257590984596936, 'grad_norm_feat': 1.5289396750320632}
{'round': 8, 'grad_norm_head': 1.122247548109771, 'grad_norm_feat': 1.3769740813395375}
{'round': 9, 'grad_norm_head': 0.9998909075146885, 'grad_norm_feat': 1.253987664497481}
{'round': 10, 'grad_norm_head': 0.8965957736359665, 'grad_norm_feat': 1.1495129766371974}
{'round': 11, 'grad_norm_head': 0.815158466318886, 'grad_norm_feat': 1.065785390746984}
{'round': 12, 'grad_norm_head': 0.7460951350605789, 'grad_norm_feat': 0.9954663126943555}
{'round': 13, 'grad_norm_head': 0.6860963720316936, 'grad_norm_feat': 0.937451567316321}
{'round': 14, 'grad_norm_head': 0.6330522730589004, 'grad_norm_feat': 0.8768535587675211}
{'round': 15, 'grad_norm_head': 0.5844337402690609, 'grad_norm_feat': 0.8249693878516502}
{'round': 16, 'grad_norm_head': 0.5443760595958088, 'grad_norm_feat': 0.7813126761698671}
{'round': 17, 'grad_norm_head': 0.5050913699069025, 'grad_norm_feat': 0.735135415979919}
{'round': 18, 'grad_norm_head': 0.4739606465669733, 'grad_norm_feat': 0.6990244054484753}
{'round': 19, 'grad_norm_head': 0.4456354942188646, 'grad_norm_feat': 0.6669607987544101}
{'round': 20, 'grad_norm_head': 0.42406040867670786, 'grad_norm_feat': 0.6433839018182735}
{'round': 21, 'grad_norm_head': 0.39496413044270634, 'grad_norm_feat': 0.6057485131103727}
{'round': 22, 'grad_norm_head': 0.37419023117299505, 'grad_norm_feat': 0.5816624577615456}
{'round': 23, 'grad_norm_head': 0.35409737121794627, 'grad_norm_feat': 0.5560003080579281}
{'round': 24, 'grad_norm_head': 0.336928550104466, 'grad_norm_feat': 0.5358653012653062}
{'round': 25, 'grad_norm_head': 0.3177140602058776, 'grad_norm_feat': 0.5093301693390302}
{'round': 26, 'grad_norm_head': 0.3046916681984071, 'grad_norm_feat': 0.49388015204740754}
{'round': 27, 'grad_norm_head': 0.29107301075166714, 'grad_norm_feat': 0.47669557059114775}
{'round': 28, 'grad_norm_head': 0.27796846708317613, 'grad_norm_feat': 0.4599257081006545}
{'round': 29, 'grad_norm_head': 0.2678202590780824, 'grad_norm_feat': 0.4473523329925321}
{'round': 30, 'grad_norm_head': 0.259514355361459, 'grad_norm_feat': 0.4376601456847179}
{'round': 31, 'grad_norm_head': 0.24670738967534406, 'grad_norm_feat': 0.4196100796362169}
{'round': 32, 'grad_norm_head': 0.23979059054420315, 'grad_norm_feat': 0.4117344531731184}
{'round': 33, 'grad_norm_head': 0.23162041433259423, 'grad_norm_feat': 0.4008003358171536}
{'round': 34, 'grad_norm_head': 0.2246579139929162, 'grad_norm_feat': 0.3914051454710378}
{'round': 35, 'grad_norm_head': 0.21708434084303188, 'grad_norm_feat': 0.3818268545306859}
{'round': 36, 'grad_norm_head': 0.21156874153494185, 'grad_norm_feat': 0.37414925730264953}
{'round': 37, 'grad_norm_head': 0.20572095754411876, 'grad_norm_feat': 0.3674163584846578}
{'round': 38, 'grad_norm_head': 0.19933685192861123, 'grad_norm_feat': 0.3585365207959491}
{'round': 39, 'grad_norm_head': 0.19523397413402724, 'grad_norm_feat': 0.35393046044644966}
{'round': 40, 'grad_norm_head': 0.18914964508450263, 'grad_norm_feat': 0.34404996885892924}
{'round': 41, 'grad_norm_head': 0.18400032765057447, 'grad_norm_feat': 0.3373889763059399}
{'round': 42, 'grad_norm_head': 0.17622682025044833, 'grad_norm_feat': 0.32515545200095863}
{'round': 43, 'grad_norm_head': 0.17133545874810457, 'grad_norm_feat': 0.31751234106208753}
{'round': 44, 'grad_norm_head': 0.16542162868509797, 'grad_norm_feat': 0.3086149313988148}
{'round': 45, 'grad_norm_head': 0.15984347067770902, 'grad_norm_feat': 0.29956286679627186}
{'round': 46, 'grad_norm_head': 0.1564423733658342, 'grad_norm_feat': 0.2940730243396983}
{'round': 47, 'grad_norm_head': 0.1529946251618276, 'grad_norm_feat': 0.2889341895340715}
{'round': 48, 'grad_norm_head': 0.151441057589787, 'grad_norm_feat': 0.28804480725327847}
{'round': 49, 'grad_norm_head': 0.1469940808119691, 'grad_norm_feat': 0.2810588621197999}
{'round': 50, 'grad_norm_head': 0.1449483825764011, 'grad_norm_feat': 0.27850148833171534}
{'round': 51, 'grad_norm_head': 0.1433114931968837, 'grad_norm_feat': 0.2762496349843817}
{'round': 52, 'grad_norm_head': 0.1412734938609692, 'grad_norm_feat': 0.27365940268730043}
{'round': 53, 'grad_norm_head': 0.14017317087193312, 'grad_norm_feat': 0.27187770268133915}
