{'round': 0, 'grad_norm_head': 0.23353529591054303, 'grad_norm_feat': 0.5171950481866711}
{'round': 1, 'grad_norm_head': 0.11905785902293069, 'grad_norm_feat': 0.21262476059339852}
{'round': 2, 'grad_norm_head': 0.07907911099878784, 'grad_norm_feat': 0.15288262358107685}
{'round': 3, 'grad_norm_head': 0.05894387964974514, 'grad_norm_feat': 0.12031388776221906}
{'round': 4, 'grad_norm_head': 0.045388378860560845, 'grad_norm_feat': 0.09610476863009251}
{'round': 5, 'grad_norm_head': 0.0365791045233782, 'grad_norm_feat': 0.07944026365101915}
{'round': 6, 'grad_norm_head': 0.030880132549093473, 'grad_norm_feat': 0.06815754188003025}
{'round': 7, 'grad_norm_head': 0.0265724879196759, 'grad_norm_feat': 0.0594552271176036}
{'round': 8, 'grad_norm_head': 0.023754359121785338, 'grad_norm_feat': 0.05355901446395563}
{'round': 9, 'grad_norm_head': 0.0211160629032277, 'grad_norm_feat': 0.047971261264909575}
{'round': 10, 'grad_norm_head': 0.01900779882294859, 'grad_norm_feat': 0.04327596606215617}
{'round': 11, 'grad_norm_head': 0.017546276216625724, 'grad_norm_feat': 0.03995655873090027}
{'round': 12, 'grad_norm_head': 0.016334205214544817, 'grad_norm_feat': 0.03729382774988595}
{'round': 13, 'grad_norm_head': 0.015335859712399574, 'grad_norm_feat': 0.034921332215296814}
{'round': 14, 'grad_norm_head': 0.014451053115420987, 'grad_norm_feat': 0.03289772359574745}
{'round': 15, 'grad_norm_head': 0.013653043016314167, 'grad_norm_feat': 0.030914429144703055}
{'round': 16, 'grad_norm_head': 0.01289067698507399, 'grad_norm_feat': 0.029080295691359805}
{'round': 17, 'grad_norm_head': 0.01220284834426753, 'grad_norm_feat': 0.027421948758848246}
{'round': 18, 'grad_norm_head': 0.011631286210461545, 'grad_norm_feat': 0.02599070215451941}
{'round': 19, 'grad_norm_head': 0.01117973322376263, 'grad_norm_feat': 0.02481646401767062}
{'round': 20, 'grad_norm_head': 0.010799777063038434, 'grad_norm_feat': 0.0238495004961831}
{'round': 21, 'grad_norm_head': 0.010392266015133472, 'grad_norm_feat': 0.022825726851225}
{'round': 22, 'grad_norm_head': 0.010062802125540874, 'grad_norm_feat': 0.021960388602963402}
{'round': 23, 'grad_norm_head': 0.009727866867956753, 'grad_norm_feat': 0.021019816296689572}
{'round': 24, 'grad_norm_head': 0.009423995930475503, 'grad_norm_feat': 0.02020482392359851}
{'round': 25, 'grad_norm_head': 0.009181113260372253, 'grad_norm_feat': 0.019576536576661516}
{'round': 26, 'grad_norm_head': 0.008862717700700372, 'grad_norm_feat': 0.01871408864213805}
{'round': 27, 'grad_norm_head': 0.008661562949120271, 'grad_norm_feat': 0.018139216176076372}
{'round': 28, 'grad_norm_head': 0.008394231689803376, 'grad_norm_feat': 0.01743616178192371}
{'round': 29, 'grad_norm_head': 0.00815191548776968, 'grad_norm_feat': 0.016784784342487702}
{'round': 30, 'grad_norm_head': 0.007986884901986431, 'grad_norm_feat': 0.01629203597258185}
{'round': 31, 'grad_norm_head': 0.007807612048644208, 'grad_norm_feat': 0.01579356013838678}
{'round': 32, 'grad_norm_head': 0.007719107648067139, 'grad_norm_feat': 0.015464540029175258}
{'round': 33, 'grad_norm_head': 0.007601210690022328, 'grad_norm_feat': 0.015099336853614274}
{'round': 34, 'grad_norm_head': 0.007521179531856628, 'grad_norm_feat': 0.01479131349369008}
{'round': 35, 'grad_norm_head': 0.007380893200855903, 'grad_norm_feat': 0.014429849740760923}
{'round': 36, 'grad_norm_head': 0.007345721234622171, 'grad_norm_feat': 0.014195605243670802}
{'round': 37, 'grad_norm_head': 0.007258593536947141, 'grad_norm_feat': 0.01393694988537227}
{'round': 38, 'grad_norm_head': 0.007162916689296674, 'grad_norm_feat': 0.013592114890566626}
{'round': 39, 'grad_norm_head': 0.007058492606851955, 'grad_norm_feat': 0.013283087382838708}
{'round': 40, 'grad_norm_head': 0.007015000315288437, 'grad_norm_feat': 0.01305315529992731}
{'round': 41, 'grad_norm_head': 0.006867754147330463, 'grad_norm_feat': 0.012672326607660133}
{'round': 42, 'grad_norm_head': 0.006869097639753776, 'grad_norm_feat': 0.012530283277988349}
{'round': 43, 'grad_norm_head': 0.0067682175756762905, 'grad_norm_feat': 0.012259940203195091}
{'round': 44, 'grad_norm_head': 0.006724739351402156, 'grad_norm_feat': 0.012061827563004574}
{'round': 45, 'grad_norm_head': 0.006638158865200964, 'grad_norm_feat': 0.011811508532252657}
{'round': 46, 'grad_norm_head': 0.0066356801445255666, 'grad_norm_feat': 0.01168968357337497}
{'round': 47, 'grad_norm_head': 0.006634768796924885, 'grad_norm_feat': 0.011600091829789416}
{'round': 48, 'grad_norm_head': 0.006576659668104524, 'grad_norm_feat': 0.01140734286273066}
{'round': 49, 'grad_norm_head': 0.006554500027151934, 'grad_norm_feat': 0.011269792173105104}
{'round': 50, 'grad_norm_head': 0.006514706780653149, 'grad_norm_feat': 0.011138494539918534}
{'round': 51, 'grad_norm_head': 0.00650579413941424, 'grad_norm_feat': 0.011017516144319039}
{'round': 52, 'grad_norm_head': 0.0064769018752213, 'grad_norm_feat': 0.010893001934192468}
{'round': 53, 'grad_norm_head': 0.006436787768034309, 'grad_norm_feat': 0.01075839645779789}
