{'round': 0, 'grad_norm_head': 2.5318679797810675, 'grad_norm_feat': 3.676024358572062}
{'round': 1, 'grad_norm_head': 2.48149299912625, 'grad_norm_feat': 3.674408187189598}
{'round': 2, 'grad_norm_head': 1.812522251574668, 'grad_norm_feat': 2.88979866771812}
{'round': 3, 'grad_norm_head': 1.340212266440885, 'grad_norm_feat': 2.2511932764485336}
{'round': 4, 'grad_norm_head': 0.9596045375776973, 'grad_norm_feat': 1.6588270818508832}
{'round': 5, 'grad_norm_head': 0.6891686478941143, 'grad_norm_feat': 1.2104400980605157}
{'round': 6, 'grad_norm_head': 0.5246583684184876, 'grad_norm_feat': 0.9270670303218344}
{'round': 7, 'grad_norm_head': 0.4122914031946343, 'grad_norm_feat': 0.7281884762343471}
{'round': 8, 'grad_norm_head': 0.33354311447619767, 'grad_norm_feat': 0.5975725550690912}
{'round': 9, 'grad_norm_head': 0.27474961361034483, 'grad_norm_feat': 0.5031143029912812}
{'round': 10, 'grad_norm_head': 0.22726721687148016, 'grad_norm_feat': 0.42267709372540474}
{'round': 11, 'grad_norm_head': 0.19294721421982397, 'grad_norm_feat': 0.3651679023860331}
{'round': 12, 'grad_norm_head': 0.16598541756418597, 'grad_norm_feat': 0.31799941173088564}
{'round': 13, 'grad_norm_head': 0.14439557042857193, 'grad_norm_feat': 0.27942606104023243}
{'round': 14, 'grad_norm_head': 0.1286976580739433, 'grad_norm_feat': 0.2512977890091271}
{'round': 15, 'grad_norm_head': 0.11586707712160076, 'grad_norm_feat': 0.2286272361864719}
{'round': 16, 'grad_norm_head': 0.10323087061617586, 'grad_norm_feat': 0.20548906191562868}
{'round': 17, 'grad_norm_head': 0.09459959870768532, 'grad_norm_feat': 0.18917057402920726}
{'round': 18, 'grad_norm_head': 0.08756869472058557, 'grad_norm_feat': 0.17576373274112544}
{'round': 19, 'grad_norm_head': 0.08124705972644444, 'grad_norm_feat': 0.1635794059237127}
{'round': 20, 'grad_norm_head': 0.07579320416235463, 'grad_norm_feat': 0.15277034403009015}
{'round': 21, 'grad_norm_head': 0.07092513422386323, 'grad_norm_feat': 0.1433824873923041}
{'round': 22, 'grad_norm_head': 0.066699942843713, 'grad_norm_feat': 0.13521341646342577}
{'round': 23, 'grad_norm_head': 0.06391848615004103, 'grad_norm_feat': 0.12965445852380336}
{'round': 24, 'grad_norm_head': 0.06098973234127639, 'grad_norm_feat': 0.12391030121416635}
{'round': 25, 'grad_norm_head': 0.058601284606136, 'grad_norm_feat': 0.11925333167711437}
{'round': 26, 'grad_norm_head': 0.05599460965666758, 'grad_norm_feat': 0.11331882482193736}
{'round': 27, 'grad_norm_head': 0.05447437343867122, 'grad_norm_feat': 0.11047825679317953}
{'round': 28, 'grad_norm_head': 0.05280702015845992, 'grad_norm_feat': 0.1075789240525657}
{'round': 29, 'grad_norm_head': 0.05126809918260178, 'grad_norm_feat': 0.10414639328610942}
{'round': 30, 'grad_norm_head': 0.05033087288784219, 'grad_norm_feat': 0.10245860463581209}
{'round': 31, 'grad_norm_head': 0.04959148371321129, 'grad_norm_feat': 0.10133936769790489}
{'round': 32, 'grad_norm_head': 0.04864187628560872, 'grad_norm_feat': 0.09952540403631054}
{'round': 33, 'grad_norm_head': 0.0474459516401242, 'grad_norm_feat': 0.09733099784356458}
{'round': 34, 'grad_norm_head': 0.04726387354639914, 'grad_norm_feat': 0.09781886019710241}
{'round': 35, 'grad_norm_head': 0.04615978034992572, 'grad_norm_feat': 0.09565783236705518}
{'round': 36, 'grad_norm_head': 0.04574688905387606, 'grad_norm_feat': 0.09533024958132888}
{'round': 37, 'grad_norm_head': 0.04573882547334605, 'grad_norm_feat': 0.09546330218408276}
{'round': 38, 'grad_norm_head': 0.04569599585352201, 'grad_norm_feat': 0.09540396527891208}
{'round': 39, 'grad_norm_head': 0.045163171716674805, 'grad_norm_feat': 0.09440544749181111}
{'round': 40, 'grad_norm_head': 0.044963130051375894, 'grad_norm_feat': 0.09419990102921924}
{'round': 41, 'grad_norm_head': 0.0447101568156039, 'grad_norm_feat': 0.09354790172319302}
{'round': 42, 'grad_norm_head': 0.04458815915580335, 'grad_norm_feat': 0.09346979996186701}
{'round': 43, 'grad_norm_head': 0.04396553566642718, 'grad_norm_feat': 0.09227654619855118}
{'round': 44, 'grad_norm_head': 0.04408783296730932, 'grad_norm_feat': 0.09275367767033897}
{'round': 45, 'grad_norm_head': 0.04576016281176481, 'grad_norm_feat': 0.09629903701096866}
{'round': 46, 'grad_norm_head': 0.04521457064252703, 'grad_norm_feat': 0.09476624005847296}
{'round': 47, 'grad_norm_head': 0.04450477025258105, 'grad_norm_feat': 0.09341046761207208}
{'round': 48, 'grad_norm_head': 0.04411221281383043, 'grad_norm_feat': 0.09276219934450591}
{'round': 49, 'grad_norm_head': 0.04072572208152922, 'grad_norm_feat': 0.08421375915296507}
{'round': 50, 'grad_norm_head': 0.040040667762962376, 'grad_norm_feat': 0.08291232562447173}
{'round': 51, 'grad_norm_head': 0.0388856310363503, 'grad_norm_feat': 0.08084189098416746}
{'round': 52, 'grad_norm_head': 0.03897051206341416, 'grad_norm_feat': 0.08110129900214856}
{'round': 53, 'grad_norm_head': 0.03751000604706695, 'grad_norm_feat': 0.07812538951208016}
{'round': 54, 'grad_norm_head': 0.03577933168921154, 'grad_norm_feat': 0.07437387520875541}
{'round': 55, 'grad_norm_head': 0.03408380445260426, 'grad_norm_feat': 0.07098328916669802}
{'round': 56, 'grad_norm_head': 0.031410688849134095, 'grad_norm_feat': 0.06555888202614896}
{'round': 57, 'grad_norm_head': 0.028254022066388492, 'grad_norm_feat': 0.05909589248935077}
{'round': 58, 'grad_norm_head': 0.025478898739535884, 'grad_norm_feat': 0.05372759607037992}
{'round': 59, 'grad_norm_head': 0.021618058789960298, 'grad_norm_feat': 0.04569317869503608}
{'round': 60, 'grad_norm_head': 0.019301035810726577, 'grad_norm_feat': 0.0408844681248674}
{'round': 61, 'grad_norm_head': 0.016109525418309612, 'grad_norm_feat': 0.03428645281813174}
{'round': 62, 'grad_norm_head': 0.013842751111230402, 'grad_norm_feat': 0.029759559493532015}
{'round': 63, 'grad_norm_head': 0.011774627823465928, 'grad_norm_feat': 0.025369605154441366}
{'round': 64, 'grad_norm_head': 0.010304310119409604, 'grad_norm_feat': 0.022199855361486196}
{'round': 65, 'grad_norm_head': 0.009016206670340823, 'grad_norm_feat': 0.019374405668658962}
{'round': 66, 'grad_norm_head': 0.007893673051034873, 'grad_norm_feat': 0.01695806629982466}
{'round': 67, 'grad_norm_head': 0.007008387691241928, 'grad_norm_feat': 0.015046394742622881}
{'round': 68, 'grad_norm_head': 0.006437055471297969, 'grad_norm_feat': 0.013876730198046638}
{'round': 69, 'grad_norm_head': 0.005862801400660077, 'grad_norm_feat': 0.012622265358933954}
{'round': 70, 'grad_norm_head': 0.005487918913901589, 'grad_norm_feat': 0.011822358002470477}
{'round': 71, 'grad_norm_head': 0.005070125580055182, 'grad_norm_feat': 0.010907155029556363}
{'round': 72, 'grad_norm_head': 0.004765608162069212, 'grad_norm_feat': 0.01024006271644}
