{'round': 0, 'grad_norm_head': 2.068647219012532, 'grad_norm_feat': 3.382015303316138}
{'round': 1, 'grad_norm_head': 1.9218054702016114, 'grad_norm_feat': 3.1689827895345237}
{'round': 2, 'grad_norm_head': 1.316624180540911, 'grad_norm_feat': 2.44378895183787}
{'round': 3, 'grad_norm_head': 0.9601466306665882, 'grad_norm_feat': 1.9345774654790837}
{'round': 4, 'grad_norm_head': 0.8241761372294923, 'grad_norm_feat': 1.7083528798932348}
{'round': 5, 'grad_norm_head': 0.7674365567665795, 'grad_norm_feat': 1.5917128101686517}
{'round': 6, 'grad_norm_head': 0.7196125590767144, 'grad_norm_feat': 1.4918327820613664}
{'round': 7, 'grad_norm_head': 0.6761546429411072, 'grad_norm_feat': 1.4210619823806048}
{'round': 8, 'grad_norm_head': 0.6520786765887042, 'grad_norm_feat': 1.3927209277315515}
{'round': 9, 'grad_norm_head': 0.6402052536998525, 'grad_norm_feat': 1.3737073596018305}
{'round': 10, 'grad_norm_head': 0.6382002739228982, 'grad_norm_feat': 1.3882560203580778}
{'round': 11, 'grad_norm_head': 0.6336677082896152, 'grad_norm_feat': 1.3907353276893644}
{'round': 12, 'grad_norm_head': 0.6301058711652217, 'grad_norm_feat': 1.3931246467855551}
{'round': 13, 'grad_norm_head': 0.6156028296842568, 'grad_norm_feat': 1.371072260164419}
{'round': 14, 'grad_norm_head': 0.5936847402899706, 'grad_norm_feat': 1.3158674006969697}
{'round': 15, 'grad_norm_head': 0.5845494960186657, 'grad_norm_feat': 1.293831135174965}
{'round': 16, 'grad_norm_head': 0.559299175573506, 'grad_norm_feat': 1.2369703324766512}
{'round': 17, 'grad_norm_head': 0.5467633762904399, 'grad_norm_feat': 1.2059976151027045}
{'round': 18, 'grad_norm_head': 0.532622176269926, 'grad_norm_feat': 1.1645338928016218}
{'round': 19, 'grad_norm_head': 0.5297997763890221, 'grad_norm_feat': 1.1449875670724792}
{'round': 20, 'grad_norm_head': 0.4994999977852505, 'grad_norm_feat': 1.0834186893830102}
{'round': 21, 'grad_norm_head': 0.47514474936090106, 'grad_norm_feat': 1.0309267100581383}
{'round': 22, 'grad_norm_head': 0.4506279368809547, 'grad_norm_feat': 0.9772218064600595}
{'round': 23, 'grad_norm_head': 0.4024291713718123, 'grad_norm_feat': 0.8721152430696376}
{'round': 24, 'grad_norm_head': 0.3691798858354118, 'grad_norm_feat': 0.7944934617474668}
{'round': 25, 'grad_norm_head': 0.34682153476497335, 'grad_norm_feat': 0.7441667682673747}
{'round': 26, 'grad_norm_head': 0.29403115926873896, 'grad_norm_feat': 0.6328787298365105}
{'round': 27, 'grad_norm_head': 0.26464410572160263, 'grad_norm_feat': 0.5690471650462161}
{'round': 28, 'grad_norm_head': 0.24876665788532965, 'grad_norm_feat': 0.5321034536218786}
{'round': 29, 'grad_norm_head': 0.23642543158811097, 'grad_norm_feat': 0.5069231125463424}
{'round': 30, 'grad_norm_head': 0.22868190469368097, 'grad_norm_feat': 0.4880404134794977}
{'round': 31, 'grad_norm_head': 0.22422365596618443, 'grad_norm_feat': 0.4733708093256185}
{'round': 32, 'grad_norm_head': 0.23225849938494167, 'grad_norm_feat': 0.4881058469803577}
{'round': 33, 'grad_norm_head': 0.23436775554920608, 'grad_norm_feat': 0.4948154861876814}
{'round': 34, 'grad_norm_head': 0.25450872658492385, 'grad_norm_feat': 0.5324462369765286}
{'round': 35, 'grad_norm_head': 0.26585628560494556, 'grad_norm_feat': 0.5559070712669296}
{'round': 36, 'grad_norm_head': 0.2884508022981735, 'grad_norm_feat': 0.5982468793601894}
{'round': 37, 'grad_norm_head': 0.32452226830956826, 'grad_norm_feat': 0.6698020250383053}
{'round': 38, 'grad_norm_head': 0.3475910616904644, 'grad_norm_feat': 0.7160454765600303}
{'round': 39, 'grad_norm_head': 0.3787483447360529, 'grad_norm_feat': 0.7782067277792548}
{'round': 40, 'grad_norm_head': 0.40585527517202424, 'grad_norm_feat': 0.8361996390593663}
{'round': 41, 'grad_norm_head': 0.45257954857161425, 'grad_norm_feat': 0.931886358413809}
{'round': 42, 'grad_norm_head': 0.46418382300095007, 'grad_norm_feat': 0.955985560643818}
{'round': 43, 'grad_norm_head': 0.479043508764576, 'grad_norm_feat': 0.9860692122477124}
{'round': 44, 'grad_norm_head': 0.5068799562410914, 'grad_norm_feat': 1.0427646001738033}
{'round': 45, 'grad_norm_head': 0.5198268621711871, 'grad_norm_feat': 1.063704382269417}
{'round': 46, 'grad_norm_head': 0.5505683329383275, 'grad_norm_feat': 1.1249999651671556}
{'round': 47, 'grad_norm_head': 0.5820444121083616, 'grad_norm_feat': 1.190395274139439}
{'round': 48, 'grad_norm_head': 0.609479419137859, 'grad_norm_feat': 1.2464019709542224}
{'round': 49, 'grad_norm_head': 0.6124494916156236, 'grad_norm_feat': 1.251373573889189}
{'round': 50, 'grad_norm_head': 0.6330625069351401, 'grad_norm_feat': 1.2934411980897715}
{'round': 51, 'grad_norm_head': 0.6421805280742554, 'grad_norm_feat': 1.3091777235277973}
{'round': 52, 'grad_norm_head': 0.6389785450839642, 'grad_norm_feat': 1.3016271883565458}
{'round': 53, 'grad_norm_head': 0.6309409848046892, 'grad_norm_feat': 1.2824053354974088}
{'round': 54, 'grad_norm_head': 0.6797581187225832, 'grad_norm_feat': 1.3812140458735025}
{'round': 55, 'grad_norm_head': 0.6638993942957766, 'grad_norm_feat': 1.3448114588095643}
{'round': 56, 'grad_norm_head': 0.7142582170447133, 'grad_norm_feat': 1.4485927737211428}
{'round': 57, 'grad_norm_head': 0.6888838513041035, 'grad_norm_feat': 1.3938474736691386}
{'round': 58, 'grad_norm_head': 0.65657575695941, 'grad_norm_feat': 1.3269161455699456}
{'round': 59, 'grad_norm_head': 0.6695094511094202, 'grad_norm_feat': 1.3537985909713366}
{'round': 60, 'grad_norm_head': 0.6499643146545216, 'grad_norm_feat': 1.3193778895894976}
{'round': 61, 'grad_norm_head': 0.6157758843109437, 'grad_norm_feat': 1.2448945480736913}
{'round': 62, 'grad_norm_head': 0.6119967719436349, 'grad_norm_feat': 1.2361239704398344}
{'round': 63, 'grad_norm_head': 0.5736445586335505, 'grad_norm_feat': 1.1572691607400323}
{'round': 64, 'grad_norm_head': 0.5643629599099685, 'grad_norm_feat': 1.1434267172707526}
{'round': 65, 'grad_norm_head': 0.5425559892929641, 'grad_norm_feat': 1.099145500756868}
{'round': 66, 'grad_norm_head': 0.5146073732972629, 'grad_norm_feat': 1.0395577824077409}
{'round': 67, 'grad_norm_head': 0.4831562911030139, 'grad_norm_feat': 0.9738501983982862}
{'round': 68, 'grad_norm_head': 0.4508741245853249, 'grad_norm_feat': 0.908919333036081}
{'round': 69, 'grad_norm_head': 0.41526410983165063, 'grad_norm_feat': 0.8376693235614433}
{'round': 70, 'grad_norm_head': 0.37182708321322033, 'grad_norm_feat': 0.753984073320342}
{'round': 71, 'grad_norm_head': 0.35756765749392977, 'grad_norm_feat': 0.7245196395257498}
{'round': 72, 'grad_norm_head': 0.31965745666558176, 'grad_norm_feat': 0.651306768419425}
{'round': 73, 'grad_norm_head': 0.3090284902091848, 'grad_norm_feat': 0.6318948672959781}
{'round': 74, 'grad_norm_head': 0.2704616131265893, 'grad_norm_feat': 0.5528474384425415}
{'round': 75, 'grad_norm_head': 0.2399801006916258, 'grad_norm_feat': 0.4920160194086798}
{'round': 76, 'grad_norm_head': 0.23078023187628874, 'grad_norm_feat': 0.47434052510952146}
{'round': 77, 'grad_norm_head': 0.2150955714392791, 'grad_norm_feat': 0.4429850788027659}
{'round': 78, 'grad_norm_head': 0.20188262027059833, 'grad_norm_feat': 0.41589985269009366}
{'round': 79, 'grad_norm_head': 0.20089305288611048, 'grad_norm_feat': 0.4098251760177175}
{'round': 80, 'grad_norm_head': 0.18041150163404293, 'grad_norm_feat': 0.3735101704004427}
{'round': 81, 'grad_norm_head': 0.16449720246484686, 'grad_norm_feat': 0.3429111600821986}
{'round': 82, 'grad_norm_head': 0.16309062318719567, 'grad_norm_feat': 0.3386379750475009}
{'round': 83, 'grad_norm_head': 0.14248389608757484, 'grad_norm_feat': 0.2986318655990768}
{'round': 84, 'grad_norm_head': 0.1247852453372125, 'grad_norm_feat': 0.2652684319404284}
{'round': 85, 'grad_norm_head': 0.1216696963841841, 'grad_norm_feat': 0.2600050032866093}
{'round': 86, 'grad_norm_head': 0.11488115309290194, 'grad_norm_feat': 0.24321914723853794}
{'round': 87, 'grad_norm_head': 0.10147947641402977, 'grad_norm_feat': 0.21898315168075014}
{'round': 88, 'grad_norm_head': 0.09701645387105648, 'grad_norm_feat': 0.2095566718344263}
{'round': 89, 'grad_norm_head': 0.09610823328304839, 'grad_norm_feat': 0.20705315045059808}
{'round': 90, 'grad_norm_head': 0.09954709942175248, 'grad_norm_feat': 0.2122602114531605}
{'round': 91, 'grad_norm_head': 0.1148989635903633, 'grad_norm_feat': 0.24513650078713348}
{'round': 92, 'grad_norm_head': 0.17414666088635966, 'grad_norm_feat': 0.361183683899213}
{'round': 93, 'grad_norm_head': 0.08846855275616099, 'grad_norm_feat': 0.1919873362308946}
{'round': 94, 'grad_norm_head': 0.23486601705861634, 'grad_norm_feat': 0.484758017619804}
{'round': 95, 'grad_norm_head': 0.08934635459278338, 'grad_norm_feat': 0.1935314401906477}
{'round': 96, 'grad_norm_head': 0.1068570258109687, 'grad_norm_feat': 0.22728179463195528}
{'round': 97, 'grad_norm_head': 0.20333321975502244, 'grad_norm_feat': 0.4179479552926702}
{'round': 98, 'grad_norm_head': 0.06997562269025122, 'grad_norm_feat': 0.1582932413344302}
{'round': 99, 'grad_norm_head': 0.12152021508605178, 'grad_norm_feat': 0.25602011258814633}
{'round': 100, 'grad_norm_head': 0.08270080606101593, 'grad_norm_feat': 0.183864052342617}
{'round': 101, 'grad_norm_head': 0.08659409599230442, 'grad_norm_feat': 0.19090877888802232}
{'round': 102, 'grad_norm_head': 0.11142298266779843, 'grad_norm_feat': 0.24183113206782197}
{'round': 103, 'grad_norm_head': 0.08781248965856901, 'grad_norm_feat': 0.19497673442874683}
{'round': 104, 'grad_norm_head': 0.15236547089274904, 'grad_norm_feat': 0.3263466637802566}
{'round': 105, 'grad_norm_head': 0.1190484780914884, 'grad_norm_feat': 0.2584012446361548}
{'round': 106, 'grad_norm_head': 0.15196951639005976, 'grad_norm_feat': 0.3267316443195624}
{'round': 107, 'grad_norm_head': 0.14449641891682674, 'grad_norm_feat': 0.311855509456111}
{'round': 108, 'grad_norm_head': 0.17561717082462594, 'grad_norm_feat': 0.3768325551724063}
{'round': 109, 'grad_norm_head': 0.18172714515884084, 'grad_norm_feat': 0.39046776771512925}
