{'round': 0, 'grad_norm_head': 0.020620466751447943, 'grad_norm_feat': 0.03254272432941272}
{'round': 1, 'grad_norm_head': 0.014576117337770204, 'grad_norm_feat': 0.02607152561476198}
{'round': 2, 'grad_norm_head': 0.013024918567104707, 'grad_norm_feat': 0.023653031551255147}
{'round': 3, 'grad_norm_head': 0.011564217932183407, 'grad_norm_feat': 0.02132253598004934}
{'round': 4, 'grad_norm_head': 0.010339451277465975, 'grad_norm_feat': 0.01942602127293225}
{'round': 5, 'grad_norm_head': 0.00974279147302477, 'grad_norm_feat': 0.018543357550790264}
{'round': 6, 'grad_norm_head': 0.009444794960318328, 'grad_norm_feat': 0.01824629299650409}
{'round': 7, 'grad_norm_head': 0.009308667012420516, 'grad_norm_feat': 0.018086611460826345}
{'round': 8, 'grad_norm_head': 0.009158261385553992, 'grad_norm_feat': 0.01797102365698701}
{'round': 9, 'grad_norm_head': 0.009029855769445849, 'grad_norm_feat': 0.017848976620220735}
{'round': 10, 'grad_norm_head': 0.00881708969685361, 'grad_norm_feat': 0.017582006470411214}
{'round': 11, 'grad_norm_head': 0.008588216766486799, 'grad_norm_feat': 0.017212111770623102}
{'round': 12, 'grad_norm_head': 0.008289976484102098, 'grad_norm_feat': 0.01667176550745313}
{'round': 13, 'grad_norm_head': 0.007998393926370032, 'grad_norm_feat': 0.01606378453646392}
{'round': 14, 'grad_norm_head': 0.007687192739121021, 'grad_norm_feat': 0.015489225084674709}
{'round': 15, 'grad_norm_head': 0.007356371340077651, 'grad_norm_feat': 0.014886163842552744}
{'round': 16, 'grad_norm_head': 0.00705215802021793, 'grad_norm_feat': 0.014333834448726402}
{'round': 17, 'grad_norm_head': 0.0067675835439136856, 'grad_norm_feat': 0.013763921966624737}
{'round': 18, 'grad_norm_head': 0.006462677560300367, 'grad_norm_feat': 0.01318512739977646}
{'round': 19, 'grad_norm_head': 0.00616533595598084, 'grad_norm_feat': 0.012658095779689033}
{'round': 20, 'grad_norm_head': 0.005862634853443003, 'grad_norm_feat': 0.01203334945923561}
{'round': 21, 'grad_norm_head': 0.0055704754062926585, 'grad_norm_feat': 0.011461900383632725}
{'round': 22, 'grad_norm_head': 0.005273554059281861, 'grad_norm_feat': 0.01088695819976598}
{'round': 23, 'grad_norm_head': 0.005008088463111946, 'grad_norm_feat': 0.01036242024064572}
{'round': 24, 'grad_norm_head': 0.004747109484381632, 'grad_norm_feat': 0.009822127658034169}
{'round': 25, 'grad_norm_head': 0.00449508005442034, 'grad_norm_feat': 0.00930211849568479}
{'round': 26, 'grad_norm_head': 0.004253451316693865, 'grad_norm_feat': 0.008791495772453639}
{'round': 27, 'grad_norm_head': 0.004023478246372556, 'grad_norm_feat': 0.008327180526951949}
{'round': 28, 'grad_norm_head': 0.0038291041585299798, 'grad_norm_feat': 0.007937191310526918}
{'round': 29, 'grad_norm_head': 0.003646588845888226, 'grad_norm_feat': 0.007567586374306922}
{'round': 30, 'grad_norm_head': 0.0034726301397471153, 'grad_norm_feat': 0.007205374498737092}
{'round': 31, 'grad_norm_head': 0.0032994974359208127, 'grad_norm_feat': 0.0068452301800684965}
{'round': 32, 'grad_norm_head': 0.0031287612686431224, 'grad_norm_feat': 0.006478979625686962}
{'round': 33, 'grad_norm_head': 0.002975091123812037, 'grad_norm_feat': 0.006168949514691605}
{'round': 34, 'grad_norm_head': 0.002839601689099087, 'grad_norm_feat': 0.0058927027731118025}
{'round': 35, 'grad_norm_head': 0.0026998786096241634, 'grad_norm_feat': 0.005600703659971318}
{'round': 36, 'grad_norm_head': 0.002578078781409655, 'grad_norm_feat': 0.005352482249977311}
{'round': 37, 'grad_norm_head': 0.0024713953973989748, 'grad_norm_feat': 0.005133489129623975}
{'round': 38, 'grad_norm_head': 0.0023677691995415604, 'grad_norm_feat': 0.004915311839525689}
{'round': 39, 'grad_norm_head': 0.0022666225357205637, 'grad_norm_feat': 0.004704485547426875}
{'round': 40, 'grad_norm_head': 0.0021702968506416144, 'grad_norm_feat': 0.004510867387845021}
{'round': 41, 'grad_norm_head': 0.002079270339652583, 'grad_norm_feat': 0.004325519339078135}
{'round': 42, 'grad_norm_head': 0.00199770712874411, 'grad_norm_feat': 0.004154477965698044}
{'round': 43, 'grad_norm_head': 0.0019132010208709254, 'grad_norm_feat': 0.003979803230352818}
{'round': 44, 'grad_norm_head': 0.0018369314869664851, 'grad_norm_feat': 0.0038211708319041125}
{'round': 45, 'grad_norm_head': 0.0017532206352792261, 'grad_norm_feat': 0.003644831083474305}
{'round': 46, 'grad_norm_head': 0.0016800001391886537, 'grad_norm_feat': 0.003491403199087495}
{'round': 47, 'grad_norm_head': 0.001607243384204174, 'grad_norm_feat': 0.0033375186549367587}
{'round': 48, 'grad_norm_head': 0.0015426649187404314, 'grad_norm_feat': 0.0032035162209906364}
{'round': 49, 'grad_norm_head': 0.0014817734526318673, 'grad_norm_feat': 0.003073804077958346}
{'round': 50, 'grad_norm_head': 0.0014213770946290751, 'grad_norm_feat': 0.002949972105622033}
{'round': 51, 'grad_norm_head': 0.001371202234563322, 'grad_norm_feat': 0.0028456714950481836}
{'round': 52, 'grad_norm_head': 0.001324644507543332, 'grad_norm_feat': 0.0027469417907897997}
