{'round': 0, 'grad_norm_head': 1.2939650784364054, 'grad_norm_feat': 1.6598254729437252}
{'round': 1, 'grad_norm_head': 1.7669749279082267, 'grad_norm_feat': 2.33852044026046}
{'round': 2, 'grad_norm_head': 2.273085693131164, 'grad_norm_feat': 3.571531421604982}
{'round': 3, 'grad_norm_head': 2.3816792462493503, 'grad_norm_feat': 4.206699503729204}
{'round': 4, 'grad_norm_head': 2.4055531186303423, 'grad_norm_feat': 4.537694609102079}
{'round': 5, 'grad_norm_head': 2.4533746467023043, 'grad_norm_feat': 4.739194468908371}
{'round': 6, 'grad_norm_head': 2.497256673337993, 'grad_norm_feat': 4.902096762827009}
{'round': 7, 'grad_norm_head': 2.5186944616424762, 'grad_norm_feat': 5.012071459660811}
{'round': 8, 'grad_norm_head': 2.5312021074737117, 'grad_norm_feat': 5.07673577738571}
{'round': 9, 'grad_norm_head': 2.533984570979373, 'grad_norm_feat': 5.120813110300267}
{'round': 10, 'grad_norm_head': 2.5346993484016718, 'grad_norm_feat': 5.159455089641644}
{'round': 11, 'grad_norm_head': 2.5404589275982725, 'grad_norm_feat': 5.192005209161266}
{'round': 12, 'grad_norm_head': 2.5488517442480183, 'grad_norm_feat': 5.244280620186508}
{'round': 13, 'grad_norm_head': 2.5511989597014724, 'grad_norm_feat': 5.276548827279304}
{'round': 14, 'grad_norm_head': 2.5540514971861987, 'grad_norm_feat': 5.315489341346143}
{'round': 15, 'grad_norm_head': 2.5558953047637596, 'grad_norm_feat': 5.35308330921517}
{'round': 16, 'grad_norm_head': 2.5547943600951197, 'grad_norm_feat': 5.364071789026208}
{'round': 17, 'grad_norm_head': 2.556048219467866, 'grad_norm_feat': 5.387772576406154}
{'round': 18, 'grad_norm_head': 2.5580780077998817, 'grad_norm_feat': 5.413655130879594}
{'round': 19, 'grad_norm_head': 2.563830518394836, 'grad_norm_feat': 5.435222140360948}
{'round': 20, 'grad_norm_head': 2.5685692448922666, 'grad_norm_feat': 5.458718033272712}
{'round': 21, 'grad_norm_head': 2.570982950268071, 'grad_norm_feat': 5.483764216377625}
{'round': 22, 'grad_norm_head': 2.5758035915261437, 'grad_norm_feat': 5.517221314935364}
{'round': 23, 'grad_norm_head': 2.58493981017193, 'grad_norm_feat': 5.543786676877082}
{'round': 24, 'grad_norm_head': 2.58934875603782, 'grad_norm_feat': 5.564295777990805}
{'round': 25, 'grad_norm_head': 2.5974520874211042, 'grad_norm_feat': 5.6004019279740245}
{'round': 26, 'grad_norm_head': 2.6011070659391065, 'grad_norm_feat': 5.619491169865085}
{'round': 27, 'grad_norm_head': 2.6066642858836313, 'grad_norm_feat': 5.625922937950969}
{'round': 28, 'grad_norm_head': 2.613970822316737, 'grad_norm_feat': 5.660470977319525}
{'round': 29, 'grad_norm_head': 2.618065537116804, 'grad_norm_feat': 5.687749674629759}
{'round': 30, 'grad_norm_head': 2.623348131253663, 'grad_norm_feat': 5.705269045593489}
{'round': 31, 'grad_norm_head': 2.630611722279592, 'grad_norm_feat': 5.7371670595637125}
{'round': 32, 'grad_norm_head': 2.6384893295079554, 'grad_norm_feat': 5.764249040328289}
{'round': 33, 'grad_norm_head': 2.6431256626282056, 'grad_norm_feat': 5.782129097661157}
{'round': 34, 'grad_norm_head': 2.656899444715894, 'grad_norm_feat': 5.821472080900436}
{'round': 35, 'grad_norm_head': 2.6637280928128244, 'grad_norm_feat': 5.839055178775871}
{'round': 36, 'grad_norm_head': 2.6700626366708557, 'grad_norm_feat': 5.860322134483489}
{'round': 37, 'grad_norm_head': 2.6759919961042904, 'grad_norm_feat': 5.882402545021624}
{'round': 38, 'grad_norm_head': 2.6833549005613566, 'grad_norm_feat': 5.906036679417522}
{'round': 39, 'grad_norm_head': 2.6858583008659136, 'grad_norm_feat': 5.914455991096508}
{'round': 40, 'grad_norm_head': 2.691786133879126, 'grad_norm_feat': 5.914694754257398}
{'round': 41, 'grad_norm_head': 2.6970578123874085, 'grad_norm_feat': 5.936033787575578}
{'round': 42, 'grad_norm_head': 2.7039666415782126, 'grad_norm_feat': 5.953920294041101}
{'round': 43, 'grad_norm_head': 2.7105868400667408, 'grad_norm_feat': 5.9854124786460865}
{'round': 44, 'grad_norm_head': 2.716014436787367, 'grad_norm_feat': 6.006307037278577}
{'round': 45, 'grad_norm_head': 2.7238997248407615, 'grad_norm_feat': 6.029595881037406}
{'round': 46, 'grad_norm_head': 2.7326160036566245, 'grad_norm_feat': 6.059434258376466}
{'round': 47, 'grad_norm_head': 2.740207185037229, 'grad_norm_feat': 6.0841852891031705}
{'round': 48, 'grad_norm_head': 2.744312680391198, 'grad_norm_feat': 6.100988283078362}
{'round': 49, 'grad_norm_head': 2.7517240990165357, 'grad_norm_feat': 6.124373556140409}
{'round': 50, 'grad_norm_head': 2.7601804548945847, 'grad_norm_feat': 6.150535171221564}
{'round': 51, 'grad_norm_head': 2.7662537264642393, 'grad_norm_feat': 6.174682762613337}
{'round': 52, 'grad_norm_head': 2.7708571721379878, 'grad_norm_feat': 6.202282417989491}
