{'round': 0, 'grad_norm_head': 0.018353926452419837, 'grad_norm_feat': 0.03172033333906306}
{'round': 1, 'grad_norm_head': 0.015659930274500224, 'grad_norm_feat': 0.029054387802127577}
{'round': 2, 'grad_norm_head': 0.014572660287283296, 'grad_norm_feat': 0.02717153879048891}
{'round': 3, 'grad_norm_head': 0.012651587921173787, 'grad_norm_feat': 0.024133986027543974}
{'round': 4, 'grad_norm_head': 0.01080692422133386, 'grad_norm_feat': 0.021049772341731138}
{'round': 5, 'grad_norm_head': 0.009587715897883228, 'grad_norm_feat': 0.018952113431105283}
{'round': 6, 'grad_norm_head': 0.008876550487222554, 'grad_norm_feat': 0.017806858101090676}
{'round': 7, 'grad_norm_head': 0.008435211121553798, 'grad_norm_feat': 0.01708356934959606}
{'round': 8, 'grad_norm_head': 0.008110062453862171, 'grad_norm_feat': 0.016555823675186317}
{'round': 9, 'grad_norm_head': 0.007867311522157975, 'grad_norm_feat': 0.016167470169886622}
{'round': 10, 'grad_norm_head': 0.0076292107388994555, 'grad_norm_feat': 0.01579671850618016}
{'round': 11, 'grad_norm_head': 0.007408516365326343, 'grad_norm_feat': 0.015425243888066145}
{'round': 12, 'grad_norm_head': 0.007194656445360077, 'grad_norm_feat': 0.015052510098804851}
{'round': 13, 'grad_norm_head': 0.007007965177975131, 'grad_norm_feat': 0.014735466152852426}
{'round': 14, 'grad_norm_head': 0.006839971353202571, 'grad_norm_feat': 0.014440073256048671}
{'round': 15, 'grad_norm_head': 0.006654335460447611, 'grad_norm_feat': 0.014082339606655054}
{'round': 16, 'grad_norm_head': 0.006460321699527724, 'grad_norm_feat': 0.013686732565841641}
{'round': 17, 'grad_norm_head': 0.0062545456555745905, 'grad_norm_feat': 0.013268692388884892}
{'round': 18, 'grad_norm_head': 0.006115170377489629, 'grad_norm_feat': 0.012970718089326795}
{'round': 19, 'grad_norm_head': 0.0059767315553429365, 'grad_norm_feat': 0.012676220333131325}
{'round': 20, 'grad_norm_head': 0.005827148979067136, 'grad_norm_feat': 0.01234419979645553}
{'round': 21, 'grad_norm_head': 0.005671924365841796, 'grad_norm_feat': 0.011991042750337397}
{'round': 22, 'grad_norm_head': 0.005511990932922758, 'grad_norm_feat': 0.01163504105129456}
{'round': 23, 'grad_norm_head': 0.00534421019685477, 'grad_norm_feat': 0.0112422896528573}
{'round': 24, 'grad_norm_head': 0.005191908563215877, 'grad_norm_feat': 0.010886384142960082}
{'round': 25, 'grad_norm_head': 0.005045992204233972, 'grad_norm_feat': 0.010553443329307181}
{'round': 26, 'grad_norm_head': 0.0048583929136492504, 'grad_norm_feat': 0.010118542272309837}
{'round': 27, 'grad_norm_head': 0.004713812265761997, 'grad_norm_feat': 0.009786705108379588}
{'round': 28, 'grad_norm_head': 0.00455808306615729, 'grad_norm_feat': 0.009432176151967377}
{'round': 29, 'grad_norm_head': 0.004411346225835693, 'grad_norm_feat': 0.009100623084230467}
{'round': 30, 'grad_norm_head': 0.0042609137177229296, 'grad_norm_feat': 0.008761156694677792}
{'round': 31, 'grad_norm_head': 0.004105282776058665, 'grad_norm_feat': 0.008419098970217783}
{'round': 32, 'grad_norm_head': 0.003946828260275293, 'grad_norm_feat': 0.008072011676893968}
{'round': 33, 'grad_norm_head': 0.003792981068339374, 'grad_norm_feat': 0.007729741882343347}
{'round': 34, 'grad_norm_head': 0.003638025417249023, 'grad_norm_feat': 0.0074019588515969025}
{'round': 35, 'grad_norm_head': 0.0034866140628099893, 'grad_norm_feat': 0.007080107241334486}
{'round': 36, 'grad_norm_head': 0.0033372102470671477, 'grad_norm_feat': 0.006750636435808444}
{'round': 37, 'grad_norm_head': 0.003192230843279303, 'grad_norm_feat': 0.006450926389472437}
{'round': 38, 'grad_norm_head': 0.0030499345482906297, 'grad_norm_feat': 0.0061558913393646875}
{'round': 39, 'grad_norm_head': 0.002914892726741616, 'grad_norm_feat': 0.005879571898420579}
{'round': 40, 'grad_norm_head': 0.0027799790221929785, 'grad_norm_feat': 0.005610162339152874}
{'round': 41, 'grad_norm_head': 0.0026354336659586645, 'grad_norm_feat': 0.005315145641660918}
{'round': 42, 'grad_norm_head': 0.002515480162011108, 'grad_norm_feat': 0.005071171938917324}
{'round': 43, 'grad_norm_head': 0.0024017899264030147, 'grad_norm_feat': 0.004845638063869124}
{'round': 44, 'grad_norm_head': 0.0022846568339896767, 'grad_norm_feat': 0.004608858155799475}
{'round': 45, 'grad_norm_head': 0.002179592886369582, 'grad_norm_feat': 0.0043946587271176014}
{'round': 46, 'grad_norm_head': 0.002078906497238472, 'grad_norm_feat': 0.004195275289260539}
{'round': 47, 'grad_norm_head': 0.001980953096620281, 'grad_norm_feat': 0.003995005832395146}
{'round': 48, 'grad_norm_head': 0.0018944589693456265, 'grad_norm_feat': 0.003819915243581503}
{'round': 49, 'grad_norm_head': 0.001805361007728494, 'grad_norm_feat': 0.0036392329494535232}
{'round': 50, 'grad_norm_head': 0.0017296197422693993, 'grad_norm_feat': 0.0034840593997425857}
{'round': 51, 'grad_norm_head': 0.0016553254261058822, 'grad_norm_feat': 0.0033330589265829547}
{'round': 52, 'grad_norm_head': 0.001585303639707571, 'grad_norm_feat': 0.003191758980410043}
{'round': 53, 'grad_norm_head': 0.0015141590723931643, 'grad_norm_feat': 0.0030456872769974103}
