{'round': 0, 'grad_norm_head': 0.448625677946099, 'grad_norm_feat': 0.7312315661050615}
{'round': 1, 'grad_norm_head': 0.229590804423168, 'grad_norm_feat': 0.5101811308767527}
{'round': 2, 'grad_norm_head': 0.1468545718390498, 'grad_norm_feat': 0.38325468160839576}
{'round': 3, 'grad_norm_head': 0.1096468720129989, 'grad_norm_feat': 0.31137437239904636}
{'round': 4, 'grad_norm_head': 0.08360946495898622, 'grad_norm_feat': 0.2529052384556846}
{'round': 5, 'grad_norm_head': 0.06907650002132441, 'grad_norm_feat': 0.21078839438227}
{'round': 6, 'grad_norm_head': 0.05954005463450247, 'grad_norm_feat': 0.1802954693514933}
{'round': 7, 'grad_norm_head': 0.05228499967359079, 'grad_norm_feat': 0.15937917930712547}
{'round': 8, 'grad_norm_head': 0.04639978254415218, 'grad_norm_feat': 0.14174338792822255}
{'round': 9, 'grad_norm_head': 0.038815518912978686, 'grad_norm_feat': 0.11919078202014495}
{'round': 10, 'grad_norm_head': 0.03346246819106351, 'grad_norm_feat': 0.1031950675965239}
{'round': 11, 'grad_norm_head': 0.0283221383338491, 'grad_norm_feat': 0.08714639405148113}
{'round': 12, 'grad_norm_head': 0.023729287814465844, 'grad_norm_feat': 0.07238063500642825}
{'round': 13, 'grad_norm_head': 0.020415765006764744, 'grad_norm_feat': 0.06311315391064856}
{'round': 14, 'grad_norm_head': 0.0166018398089902, 'grad_norm_feat': 0.051666394716707385}
{'round': 15, 'grad_norm_head': 0.013833556074299274, 'grad_norm_feat': 0.043475443681090596}
{'round': 16, 'grad_norm_head': 0.011514633308361458, 'grad_norm_feat': 0.03647879853304351}
{'round': 17, 'grad_norm_head': 0.009820361318116009, 'grad_norm_feat': 0.031316653037816104}
{'round': 18, 'grad_norm_head': 0.008303564472808014, 'grad_norm_feat': 0.02698841705211874}
{'round': 19, 'grad_norm_head': 0.007118870631515848, 'grad_norm_feat': 0.023187142852203965}
{'round': 20, 'grad_norm_head': 0.006282084221753311, 'grad_norm_feat': 0.020382577464475877}
{'round': 21, 'grad_norm_head': 0.005504946755844031, 'grad_norm_feat': 0.018143546402125506}
{'round': 22, 'grad_norm_head': 0.004801585770288761, 'grad_norm_feat': 0.01580156615751769}
{'round': 23, 'grad_norm_head': 0.0041049202899386406, 'grad_norm_feat': 0.013705246998395437}
{'round': 24, 'grad_norm_head': 0.00369105768254838, 'grad_norm_feat': 0.012633221257258097}
{'round': 25, 'grad_norm_head': 0.0032785339151058827, 'grad_norm_feat': 0.011279116351768866}
{'round': 26, 'grad_norm_head': 0.003001237533576629, 'grad_norm_feat': 0.010478812574008333}
{'round': 27, 'grad_norm_head': 0.0027216743600132526, 'grad_norm_feat': 0.009572046673845735}
{'round': 28, 'grad_norm_head': 0.00241055513739376, 'grad_norm_feat': 0.008606606313412424}
{'round': 29, 'grad_norm_head': 0.0022343138317245624, 'grad_norm_feat': 0.008134766633130413}
{'round': 30, 'grad_norm_head': 0.0020424191267043607, 'grad_norm_feat': 0.007498690753047011}
{'round': 31, 'grad_norm_head': 0.0019021596351104463, 'grad_norm_feat': 0.006970856220225996}
{'round': 32, 'grad_norm_head': 0.0017863907516555697, 'grad_norm_feat': 0.0066095818072477094}
{'round': 33, 'grad_norm_head': 0.0016816965551576398, 'grad_norm_feat': 0.006261839102765028}
{'round': 34, 'grad_norm_head': 0.0015781985788442094, 'grad_norm_feat': 0.005894519327357984}
{'round': 35, 'grad_norm_head': 0.0014881783209497069, 'grad_norm_feat': 0.005652190996345789}
{'round': 36, 'grad_norm_head': 0.001389866241874018, 'grad_norm_feat': 0.005282370017850039}
{'round': 37, 'grad_norm_head': 0.0012968343369424496, 'grad_norm_feat': 0.0049093009207900095}
{'round': 38, 'grad_norm_head': 0.0012423066075668676, 'grad_norm_feat': 0.004768791614951299}
{'round': 39, 'grad_norm_head': 0.0011721999331919344, 'grad_norm_feat': 0.004522696999585178}
{'round': 40, 'grad_norm_head': 0.0011229777596419791, 'grad_norm_feat': 0.0043831778198048605}
{'round': 41, 'grad_norm_head': 0.0010475089551910944, 'grad_norm_feat': 0.004101015974369793}
{'round': 42, 'grad_norm_head': 0.0009899022201644424, 'grad_norm_feat': 0.003940208545119561}
{'round': 43, 'grad_norm_head': 0.0009572480993169601, 'grad_norm_feat': 0.0038106059071542366}
{'round': 44, 'grad_norm_head': 0.0009063187829509402, 'grad_norm_feat': 0.0035945909970136573}
{'round': 45, 'grad_norm_head': 0.0008852246451538033, 'grad_norm_feat': 0.0035199227531397177}
{'round': 46, 'grad_norm_head': 0.0008024561801190871, 'grad_norm_feat': 0.0030958578188285692}
{'round': 47, 'grad_norm_head': 0.0007825850948936934, 'grad_norm_feat': 0.0031482858615655934}
{'round': 48, 'grad_norm_head': 0.0007132641459807777, 'grad_norm_feat': 0.0027654942378987774}
{'round': 49, 'grad_norm_head': 0.0007107801375836483, 'grad_norm_feat': 0.002811356371302623}
{'round': 50, 'grad_norm_head': 0.0006816509922384077, 'grad_norm_feat': 0.002713313952672903}
{'round': 51, 'grad_norm_head': 0.0006441886391794722, 'grad_norm_feat': 0.0024595537019074113}
{'round': 52, 'grad_norm_head': 0.0006168598746312728, 'grad_norm_feat': 0.002428555788878398}
{'round': 53, 'grad_norm_head': 0.0005725925852921602, 'grad_norm_feat': 0.0021924518495348927}
