{'round': 0, 'grad_norm_head': 3.584039636103402, 'grad_norm_feat': 5.288043429667326}
{'round': 1, 'grad_norm_head': 2.303078391093776, 'grad_norm_feat': 4.3502226447547425}
{'round': 2, 'grad_norm_head': 2.779183027791826, 'grad_norm_feat': 5.383603231261714}
{'round': 3, 'grad_norm_head': 3.005870276123387, 'grad_norm_feat': 5.837213363497821}
{'round': 4, 'grad_norm_head': 3.099047166470039, 'grad_norm_feat': 6.070284283702239}
{'round': 5, 'grad_norm_head': 3.1730738683336077, 'grad_norm_feat': 6.269054697513019}
{'round': 6, 'grad_norm_head': 3.233725933679676, 'grad_norm_feat': 6.478183666033539}
{'round': 7, 'grad_norm_head': 3.3066404539267196, 'grad_norm_feat': 6.699049135384908}
{'round': 8, 'grad_norm_head': 3.3043625152110723, 'grad_norm_feat': 6.800085855506011}
{'round': 9, 'grad_norm_head': 3.2979360908918403, 'grad_norm_feat': 6.880180637936632}
{'round': 10, 'grad_norm_head': 3.280608161648346, 'grad_norm_feat': 6.865800892161524}
{'round': 11, 'grad_norm_head': 3.224759382257455, 'grad_norm_feat': 6.774123322745563}
{'round': 12, 'grad_norm_head': 3.184126095333823, 'grad_norm_feat': 6.729564764141904}
{'round': 13, 'grad_norm_head': 3.08496568029026, 'grad_norm_feat': 6.570195575595584}
{'round': 14, 'grad_norm_head': 2.918221624180832, 'grad_norm_feat': 6.265162521798484}
{'round': 15, 'grad_norm_head': 2.7643029610735517, 'grad_norm_feat': 5.914003390901572}
{'round': 16, 'grad_norm_head': 2.592045455948356, 'grad_norm_feat': 5.613489370589303}
{'round': 17, 'grad_norm_head': 2.32476724382738, 'grad_norm_feat': 5.02818331374885}
{'round': 18, 'grad_norm_head': 2.0236763968413007, 'grad_norm_feat': 4.431934542498146}
{'round': 19, 'grad_norm_head': 1.791716973464386, 'grad_norm_feat': 3.948755656030307}
{'round': 20, 'grad_norm_head': 1.589015891126089, 'grad_norm_feat': 3.537183512749059}
{'round': 21, 'grad_norm_head': 1.3908698049667374, 'grad_norm_feat': 3.12438666894882}
{'round': 22, 'grad_norm_head': 1.2501989285950499, 'grad_norm_feat': 2.816851010880166}
{'round': 23, 'grad_norm_head': 1.1391902177395412, 'grad_norm_feat': 2.5889887694436675}
{'round': 24, 'grad_norm_head': 1.0294368692540787, 'grad_norm_feat': 2.3521753312702764}
{'round': 25, 'grad_norm_head': 0.9199099706050329, 'grad_norm_feat': 2.121292930759497}
{'round': 26, 'grad_norm_head': 0.8345933039402522, 'grad_norm_feat': 1.94593874597613}
{'round': 27, 'grad_norm_head': 0.7656961044992118, 'grad_norm_feat': 1.7958561843661467}
{'round': 28, 'grad_norm_head': 0.7028058334285755, 'grad_norm_feat': 1.6654508366842138}
{'round': 29, 'grad_norm_head': 0.6528453794305898, 'grad_norm_feat': 1.5650912453877712}
{'round': 30, 'grad_norm_head': 0.6015860224806459, 'grad_norm_feat': 1.4574648938569528}
{'round': 31, 'grad_norm_head': 0.5675692222318687, 'grad_norm_feat': 1.3859416142104704}
{'round': 32, 'grad_norm_head': 0.5209732724477969, 'grad_norm_feat': 1.278009928431743}
{'round': 33, 'grad_norm_head': 0.488414904070863, 'grad_norm_feat': 1.2080891754334655}
{'round': 34, 'grad_norm_head': 0.4610377819744979, 'grad_norm_feat': 1.1483447492791798}
{'round': 35, 'grad_norm_head': 0.4400281730509814, 'grad_norm_feat': 1.106311738194134}
{'round': 36, 'grad_norm_head': 0.40797663747526325, 'grad_norm_feat': 1.0279205844913035}
{'round': 37, 'grad_norm_head': 0.38757929092811655, 'grad_norm_feat': 0.9792223570408187}
{'round': 38, 'grad_norm_head': 0.3649592208028374, 'grad_norm_feat': 0.9286044319085632}
{'round': 39, 'grad_norm_head': 0.3447404432195917, 'grad_norm_feat': 0.8805722698959506}
{'round': 40, 'grad_norm_head': 0.3319205576100377, 'grad_norm_feat': 0.8500053292239861}
{'round': 41, 'grad_norm_head': 0.3098551583010806, 'grad_norm_feat': 0.7979763310664701}
{'round': 42, 'grad_norm_head': 0.31308883449623787, 'grad_norm_feat': 0.8091059396788536}
{'round': 43, 'grad_norm_head': 0.29423815041995316, 'grad_norm_feat': 0.7630809765993367}
{'round': 44, 'grad_norm_head': 0.2773395776661737, 'grad_norm_feat': 0.7186808980261219}
{'round': 45, 'grad_norm_head': 0.2590693835137012, 'grad_norm_feat': 0.6722181565818346}
{'round': 46, 'grad_norm_head': 0.25484321874409516, 'grad_norm_feat': 0.6593560593081225}
{'round': 47, 'grad_norm_head': 0.2448787164823671, 'grad_norm_feat': 0.6357741762591734}
{'round': 48, 'grad_norm_head': 0.21851381285714228, 'grad_norm_feat': 0.5644265649543898}
{'round': 49, 'grad_norm_head': 0.22675639718288604, 'grad_norm_feat': 0.5862171429310037}
{'round': 50, 'grad_norm_head': 0.21308335067568918, 'grad_norm_feat': 0.5511483727993702}
{'round': 51, 'grad_norm_head': 0.20976176704174604, 'grad_norm_feat': 0.543017318729605}
{'round': 52, 'grad_norm_head': 0.19611675984727317, 'grad_norm_feat': 0.5049987648265997}
{'round': 53, 'grad_norm_head': 0.1880997259637373, 'grad_norm_feat': 0.4827288394665236}
{'round': 54, 'grad_norm_head': 0.18152846634117945, 'grad_norm_feat': 0.4653239170730663}
{'round': 55, 'grad_norm_head': 0.17550647088639187, 'grad_norm_feat': 0.44907893155401135}
{'round': 56, 'grad_norm_head': 0.16395903993985483, 'grad_norm_feat': 0.4165055323952421}
{'round': 57, 'grad_norm_head': 0.16263755108064346, 'grad_norm_feat': 0.41177088407669094}
{'round': 58, 'grad_norm_head': 0.14976188486133404, 'grad_norm_feat': 0.3793508419288778}
{'round': 59, 'grad_norm_head': 0.14407687973676633, 'grad_norm_feat': 0.364561427858698}
{'round': 60, 'grad_norm_head': 0.13066508073973412, 'grad_norm_feat': 0.3276298238263441}
{'round': 61, 'grad_norm_head': 0.12801091625162325, 'grad_norm_feat': 0.3243739361194264}
{'round': 62, 'grad_norm_head': 0.11954810656885081, 'grad_norm_feat': 0.30113266936656685}
{'round': 63, 'grad_norm_head': 0.11321033195820984, 'grad_norm_feat': 0.28775403850824255}
{'round': 64, 'grad_norm_head': 0.10250288814188607, 'grad_norm_feat': 0.25927642109033416}
{'round': 65, 'grad_norm_head': 0.09910005022280227, 'grad_norm_feat': 0.2534626514992705}
