{'round': 0, 'grad_norm_head': 0.44117003210317624, 'grad_norm_feat': 0.7076005022359813}
{'round': 1, 'grad_norm_head': 0.24123292602976243, 'grad_norm_feat': 0.48751985672537623}
{'round': 2, 'grad_norm_head': 0.12905170494366877, 'grad_norm_feat': 0.2887661955181508}
{'round': 3, 'grad_norm_head': 0.07242162074084231, 'grad_norm_feat': 0.17214490341117705}
{'round': 4, 'grad_norm_head': 0.045679144864111884, 'grad_norm_feat': 0.11432546351520158}
{'round': 5, 'grad_norm_head': 0.0329686278163814, 'grad_norm_feat': 0.08691840720214243}
{'round': 6, 'grad_norm_head': 0.026588162975085886, 'grad_norm_feat': 0.07301949700950296}
{'round': 7, 'grad_norm_head': 0.0228993062057076, 'grad_norm_feat': 0.0647855167076271}
{'round': 8, 'grad_norm_head': 0.020565136727286108, 'grad_norm_feat': 0.059571994357532486}
{'round': 9, 'grad_norm_head': 0.018927287969004503, 'grad_norm_feat': 0.05539706188456916}
{'round': 10, 'grad_norm_head': 0.017701607614191917, 'grad_norm_feat': 0.05254855708487381}
{'round': 11, 'grad_norm_head': 0.016693000788785654, 'grad_norm_feat': 0.0498683503552009}
{'round': 12, 'grad_norm_head': 0.015867994356866543, 'grad_norm_feat': 0.048116447401424164}
{'round': 13, 'grad_norm_head': 0.015132377924378269, 'grad_norm_feat': 0.04634828899007666}
{'round': 14, 'grad_norm_head': 0.014514161556595826, 'grad_norm_feat': 0.04480109990768523}
{'round': 15, 'grad_norm_head': 0.013956680091038742, 'grad_norm_feat': 0.043088479852508965}
{'round': 16, 'grad_norm_head': 0.01350505289000382, 'grad_norm_feat': 0.04191401153711414}
{'round': 17, 'grad_norm_head': 0.01310730636007722, 'grad_norm_feat': 0.04077529292877131}
{'round': 18, 'grad_norm_head': 0.012722773975332198, 'grad_norm_feat': 0.03995086177005243}
{'round': 19, 'grad_norm_head': 0.012398083518345001, 'grad_norm_feat': 0.03918270921305906}
{'round': 20, 'grad_norm_head': 0.012083932575996846, 'grad_norm_feat': 0.03856647988387765}
{'round': 21, 'grad_norm_head': 0.011834003113255772, 'grad_norm_feat': 0.038049533030620766}
{'round': 22, 'grad_norm_head': 0.011579694932844189, 'grad_norm_feat': 0.03753155428056869}
{'round': 23, 'grad_norm_head': 0.011369878146864175, 'grad_norm_feat': 0.037038979616875814}
{'round': 24, 'grad_norm_head': 0.011151546666180153, 'grad_norm_feat': 0.036679139924875315}
{'round': 25, 'grad_norm_head': 0.010949817312779145, 'grad_norm_feat': 0.03643739208773306}
{'round': 26, 'grad_norm_head': 0.010756563233633916, 'grad_norm_feat': 0.03590389743007674}
{'round': 27, 'grad_norm_head': 0.010594114789592865, 'grad_norm_feat': 0.03572589243300379}
{'round': 28, 'grad_norm_head': 0.010440089041532536, 'grad_norm_feat': 0.03536283743470356}
{'round': 29, 'grad_norm_head': 0.010302835913276055, 'grad_norm_feat': 0.03522848790359641}
{'round': 30, 'grad_norm_head': 0.010179555112975207, 'grad_norm_feat': 0.034950155540694236}
{'round': 31, 'grad_norm_head': 0.010059397121549228, 'grad_norm_feat': 0.03495053828838173}
{'round': 32, 'grad_norm_head': 0.009921707824641017, 'grad_norm_feat': 0.03455605488277749}
{'round': 33, 'grad_norm_head': 0.009788869351047337, 'grad_norm_feat': 0.03421562716744377}
{'round': 34, 'grad_norm_head': 0.009688186963756427, 'grad_norm_feat': 0.03418729550406705}
{'round': 35, 'grad_norm_head': 0.009587871908960585, 'grad_norm_feat': 0.03383569983661239}
{'round': 36, 'grad_norm_head': 0.009514757471337724, 'grad_norm_feat': 0.03385394505467804}
{'round': 37, 'grad_norm_head': 0.0094185981224049, 'grad_norm_feat': 0.033557294668792204}
{'round': 38, 'grad_norm_head': 0.0093499394968818, 'grad_norm_feat': 0.033568439211899254}
{'round': 39, 'grad_norm_head': 0.009288516004327004, 'grad_norm_feat': 0.033368942495135494}
{'round': 40, 'grad_norm_head': 0.009231257755178617, 'grad_norm_feat': 0.03324437247548165}
{'round': 41, 'grad_norm_head': 0.00916768146600779, 'grad_norm_feat': 0.03341444470031158}
{'round': 42, 'grad_norm_head': 0.009088284039006373, 'grad_norm_feat': 0.033272680536360226}
{'round': 43, 'grad_norm_head': 0.00902933954738386, 'grad_norm_feat': 0.03324252948214629}
{'round': 44, 'grad_norm_head': 0.008975308945689668, 'grad_norm_feat': 0.033069860739943314}
{'round': 45, 'grad_norm_head': 0.008912502376605158, 'grad_norm_feat': 0.03300668285077774}
{'round': 46, 'grad_norm_head': 0.008862091407478475, 'grad_norm_feat': 0.0328375293641843}
{'round': 47, 'grad_norm_head': 0.008802629899750907, 'grad_norm_feat': 0.032507411352520214}
{'round': 48, 'grad_norm_head': 0.00875572634063234, 'grad_norm_feat': 0.03258969268281762}
{'round': 49, 'grad_norm_head': 0.008702492121017872, 'grad_norm_feat': 0.03243211365136644}
{'round': 50, 'grad_norm_head': 0.008644759056472074, 'grad_norm_feat': 0.03222358588628323}
{'round': 51, 'grad_norm_head': 0.008604721497829761, 'grad_norm_feat': 0.032046233218769066}
{'round': 52, 'grad_norm_head': 0.008551000102363546, 'grad_norm_feat': 0.031959073231695764}
{'round': 53, 'grad_norm_head': 0.008502569780234066, 'grad_norm_feat': 0.03162743695606496}
{'round': 54, 'grad_norm_head': 0.008448502904929748, 'grad_norm_feat': 0.03130799963143259}
{'round': 55, 'grad_norm_head': 0.008407264421693598, 'grad_norm_feat': 0.031067989942129896}
{'round': 56, 'grad_norm_head': 0.008354131799377117, 'grad_norm_feat': 0.03069098446645331}
{'round': 57, 'grad_norm_head': 0.008319267389279903, 'grad_norm_feat': 0.030818955408490688}
{'round': 58, 'grad_norm_head': 0.008276080096545105, 'grad_norm_feat': 0.030624285328306043}
{'round': 59, 'grad_norm_head': 0.00822111383975112, 'grad_norm_feat': 0.03053087489622549}
{'round': 60, 'grad_norm_head': 0.008153398967710038, 'grad_norm_feat': 0.030027291208717315}
{'round': 61, 'grad_norm_head': 0.00813056514370972, 'grad_norm_feat': 0.03003331212165178}
{'round': 62, 'grad_norm_head': 0.008092513042713283, 'grad_norm_feat': 0.03015822814123293}
{'round': 63, 'grad_norm_head': 0.008030683164896722, 'grad_norm_feat': 0.029887894527308796}
{'round': 64, 'grad_norm_head': 0.007997117376847692, 'grad_norm_feat': 0.02978436320225705}
{'round': 65, 'grad_norm_head': 0.00794069807985237, 'grad_norm_feat': 0.029643047405514225}
{'round': 66, 'grad_norm_head': 0.007907506619566225, 'grad_norm_feat': 0.029579275720502316}
{'round': 67, 'grad_norm_head': 0.007845071999629805, 'grad_norm_feat': 0.029247166789094437}
{'round': 68, 'grad_norm_head': 0.007823797997450942, 'grad_norm_feat': 0.02937354155665869}
{'round': 69, 'grad_norm_head': 0.007756709478642083, 'grad_norm_feat': 0.02894380498554609}
{'round': 70, 'grad_norm_head': 0.00772363836216862, 'grad_norm_feat': 0.028822975219808592}
{'round': 71, 'grad_norm_head': 0.007664913867991955, 'grad_norm_feat': 0.028528281411489192}
{'round': 72, 'grad_norm_head': 0.007648036066192718, 'grad_norm_feat': 0.028589778758747905}
{'round': 73, 'grad_norm_head': 0.007590885292967909, 'grad_norm_feat': 0.028351329642337865}
{'round': 74, 'grad_norm_head': 0.007538787533313393, 'grad_norm_feat': 0.028061989094892943}
{'round': 75, 'grad_norm_head': 0.00749360042468439, 'grad_norm_feat': 0.028048695292828853}
{'round': 76, 'grad_norm_head': 0.007448953411648611, 'grad_norm_feat': 0.027775274242408755}
{'round': 77, 'grad_norm_head': 0.007391821650489668, 'grad_norm_feat': 0.027591412884593835}
{'round': 78, 'grad_norm_head': 0.007353228196017332, 'grad_norm_feat': 0.027664146405480313}
{'round': 79, 'grad_norm_head': 0.007305334270895134, 'grad_norm_feat': 0.0271177278968248}
{'round': 80, 'grad_norm_head': 0.007262971878156759, 'grad_norm_feat': 0.027250656716140704}
{'round': 81, 'grad_norm_head': 0.007204091802301669, 'grad_norm_feat': 0.026682929692662113}
{'round': 82, 'grad_norm_head': 0.007168983766221895, 'grad_norm_feat': 0.02680512972646428}
{'round': 83, 'grad_norm_head': 0.007119525850270645, 'grad_norm_feat': 0.026382344151557154}
{'round': 84, 'grad_norm_head': 0.007057346980483577, 'grad_norm_feat': 0.026430009818933696}
{'round': 85, 'grad_norm_head': 0.007015829614498934, 'grad_norm_feat': 0.02589933690047933}
{'round': 86, 'grad_norm_head': 0.006971442480930602, 'grad_norm_feat': 0.02609041632648813}
{'round': 87, 'grad_norm_head': 0.006912325167800609, 'grad_norm_feat': 0.0254089909899136}
{'round': 88, 'grad_norm_head': 0.006862955413176959, 'grad_norm_feat': 0.025700987625267555}
{'round': 89, 'grad_norm_head': 0.00680819775830605, 'grad_norm_feat': 0.02503384453270576}
{'round': 90, 'grad_norm_head': 0.006759584746044787, 'grad_norm_feat': 0.0251668457837436}
{'round': 91, 'grad_norm_head': 0.006691944063048218, 'grad_norm_feat': 0.02459804318547497}
{'round': 92, 'grad_norm_head': 0.006632491759489815, 'grad_norm_feat': 0.024617648690063536}
{'round': 93, 'grad_norm_head': 0.006599557986626845, 'grad_norm_feat': 0.02428106698935813}
{'round': 94, 'grad_norm_head': 0.006521603430887848, 'grad_norm_feat': 0.024075284416176342}
{'round': 95, 'grad_norm_head': 0.006483402194831298, 'grad_norm_feat': 0.023810542682273735}
{'round': 96, 'grad_norm_head': 0.006402353139521271, 'grad_norm_feat': 0.023577833441950555}
{'round': 97, 'grad_norm_head': 0.006369828642338455, 'grad_norm_feat': 0.023312924904810028}
{'round': 98, 'grad_norm_head': 0.006285579446684921, 'grad_norm_feat': 0.023114067698539745}
{'round': 99, 'grad_norm_head': 0.006250147385882518, 'grad_norm_feat': 0.022774241455898302}
{'round': 100, 'grad_norm_head': 0.006157146711597909, 'grad_norm_feat': 0.022847538522863555}
