{'round': 0, 'grad_norm_head': 0.39828405626592034, 'grad_norm_feat': 0.6725707307144024}
{'round': 1, 'grad_norm_head': 0.3485402341499682, 'grad_norm_feat': 0.6717495626799391}
{'round': 2, 'grad_norm_head': 0.2369310592433447, 'grad_norm_feat': 0.5169300076093288}
{'round': 3, 'grad_norm_head': 0.15519420996091346, 'grad_norm_feat': 0.36988503725354654}
{'round': 4, 'grad_norm_head': 0.10836504791017924, 'grad_norm_feat': 0.2771039187682991}
{'round': 5, 'grad_norm_head': 0.08139576164317311, 'grad_norm_feat': 0.22251358298036986}
{'round': 6, 'grad_norm_head': 0.06525584170316404, 'grad_norm_feat': 0.18939972555575238}
{'round': 7, 'grad_norm_head': 0.054958775994344664, 'grad_norm_feat': 0.16852920306534983}
{'round': 8, 'grad_norm_head': 0.0481170702563171, 'grad_norm_feat': 0.15381694173093421}
{'round': 9, 'grad_norm_head': 0.043406511683269026, 'grad_norm_feat': 0.1428110669784168}
{'round': 10, 'grad_norm_head': 0.040002711691518755, 'grad_norm_feat': 0.13421254919343825}
{'round': 11, 'grad_norm_head': 0.03728189360169167, 'grad_norm_feat': 0.12724512988429965}
{'round': 12, 'grad_norm_head': 0.03501160858722028, 'grad_norm_feat': 0.12163543744449963}
{'round': 13, 'grad_norm_head': 0.03309545894261751, 'grad_norm_feat': 0.11587543588300898}
{'round': 14, 'grad_norm_head': 0.03143270453360919, 'grad_norm_feat': 0.11162456639367606}
{'round': 15, 'grad_norm_head': 0.030001022948218433, 'grad_norm_feat': 0.10743217438579158}
{'round': 16, 'grad_norm_head': 0.028704339331188263, 'grad_norm_feat': 0.10375620651813605}
{'round': 17, 'grad_norm_head': 0.027497489392420086, 'grad_norm_feat': 0.10037507716197527}
{'round': 18, 'grad_norm_head': 0.0264237286409452, 'grad_norm_feat': 0.09732815352082629}
{'round': 19, 'grad_norm_head': 0.02541168877214721, 'grad_norm_feat': 0.09455951350377102}
{'round': 20, 'grad_norm_head': 0.0244771922266565, 'grad_norm_feat': 0.09181341474570481}
{'round': 21, 'grad_norm_head': 0.023608631629504925, 'grad_norm_feat': 0.08947293162306034}
